,Team,POSS,PPP,RB%,ORB%,DRB%,TO%
0,UChicago,62.4,1.05,53.8,32.3,74.7,16.7
1,Opponent,62.8,1.03,46.2,25.3,67.7,14.7
2,Team,POSS,PPP,RB%,ORB%,DRB%,TO%
0,UChicago,68.1,0.93,45.8,23.3,70.0,13.6
0,Opponent,65.3,1.03,54.2,30.0,76.7,15.0
2,Team,POSS,PPP,RB%,ORB%,DRB%,TO%
