,X,Y,Region
0,1.5,3.5,Left Corner
1,8.0,30.0,Left Wing
2,25.0,35.0,Top
3,42.0,30.0,Right Wing
4,48.5,3.5,Right Corner
5,25.0,9.5,Paint
6,11.0,7.0,Left Baseline
7,14.0,19.0,Left Elbow
8,25.0,22.0,Top of Key
9,36.0,19.0,Right Elbow
10,39.0,7.0,Right Baseline
