,0
0,https://www.espn.com/mens-college-basketball/team/_/id/2250/gonzaga-bulldogs
1,https://www.espn.com/mens-college-basketball/team/_/id/2649/toledo-rockets
2,https://www.espn.com/mens-college-basketball/team/_/id/198/oral-roberts-golden-eagles
3,https://www.espn.com/mens-college-basketball/team/_/id/333/alabama-crimson-tide
4,https://www.espn.com/mens-college-basketball/team/_/id/253/southern-utah-thunderbirds
5,https://www.espn.com/mens-college-basketball/team/_/id/2754/youngstown-state-penguins
6,https://www.espn.com/mens-college-basketball/team/_/id/12/arizona-wildcats
7,https://www.espn.com/mens-college-basketball/team/_/id/276/marshall-thundering-herd
8,https://www.espn.com/mens-college-basketball/team/_/id/231/furman-paladins
9,https://www.espn.com/mens-college-basketball/team/_/id/172/cornell-big-red
10,https://www.espn.com/mens-college-basketball/team/_/id/5/uab-blazers
11,https://www.espn.com/mens-college-basketball/team/_/id/2752/xavier-musketeers
12,https://www.espn.com/mens-college-basketball/team/_/id/167/new-mexico-lobos
13,https://www.espn.com/mens-college-basketball/team/_/id/256/james-madison-dukes
14,https://www.espn.com/mens-college-basketball/team/_/id/2630/ut-martin-skyhawks
15,https://www.espn.com/mens-college-basketball/team/_/id/232/charleston-cougars
16,https://www.espn.com/mens-college-basketball/team/_/id/357/texas-am-corpus-christi-islanders
17,https://www.espn.com/mens-college-basketball/team/_/id/2294/iowa-hawkeyes
18,https://www.espn.com/mens-college-basketball/team/_/id/2655/tulane-green-wave
19,https://www.espn.com/mens-college-basketball/team/_/id/2750/wright-state-raiders
20,https://www.espn.com/mens-college-basketball/team/_/id/269/marquette-golden-eagles
21,https://www.espn.com/mens-college-basketball/team/_/id/282/indiana-state-sycamores
22,https://www.espn.com/mens-college-basketball/team/_/id/142/missouri-tigers
23,https://www.espn.com/mens-college-basketball/team/_/id/235/memphis-tigers
24,https://www.espn.com/mens-college-basketball/team/_/id/2803/bryant-bulldogs
25,https://www.espn.com/mens-college-basketball/team/_/id/2390/miami-hurricanes
26,https://www.espn.com/mens-college-basketball/team/_/id/195/ohio-bobcats
27,https://www.espn.com/mens-college-basketball/team/_/id/2535/samford-bulldogs
28,https://www.espn.com/mens-college-basketball/team/_/id/41/uconn-huskies
29,https://www.espn.com/mens-college-basketball/team/_/id/292/ut-rio-grande-valley-vaqueros
30,https://www.espn.com/mens-college-basketball/team/_/id/2226/florida-atlantic-owls
31,https://www.espn.com/mens-college-basketball/team/_/id/270/milwaukee-panthers
32,https://www.espn.com/mens-college-basketball/team/_/id/328/utah-state-aggies
33,https://www.espn.com/mens-college-basketball/team/_/id/2634/tennessee-state-tigers
34,https://www.espn.com/mens-college-basketball/team/_/id/2142/colgate-raiders
35,https://www.espn.com/mens-college-basketball/team/_/id/2349/umass-lowell-river-hawks
36,https://www.espn.com/mens-college-basketball/team/_/id/2492/pepperdine-waves
37,https://www.espn.com/mens-college-basketball/team/_/id/251/texas-longhorns
38,https://www.espn.com/mens-college-basketball/team/_/id/2546/southeast-missouri-state-redhawks
39,https://www.espn.com/mens-college-basketball/team/_/id/2501/portland-pilots
40,https://www.espn.com/mens-college-basketball/team/_/id/152/nc-state-wolfpack
41,https://www.espn.com/mens-college-basketball/team/_/id/2511/queens-university-royals
42,https://www.espn.com/mens-college-basketball/team/_/id/2545/se-louisiana-lions
43,https://www.espn.com/mens-college-basketball/team/_/id/161/fairleigh-dickinson-knights
44,https://www.espn.com/mens-college-basketball/team/_/id/2277/houston-christian-huskies
45,https://www.espn.com/mens-college-basketball/team/_/id/2084/buffalo-bulls
46,https://www.espn.com/mens-college-basketball/team/_/id/2198/eastern-kentucky-colonels
47,https://www.espn.com/mens-college-basketball/team/_/id/309/louisiana-ragin-cajuns
48,https://www.espn.com/mens-college-basketball/team/_/id/2507/providence-friars
49,https://www.espn.com/mens-college-basketball/team/_/id/2599/st-johns-red-storm
50,https://www.espn.com/mens-college-basketball/team/_/id/2132/cincinnati-bearcats
51,https://www.espn.com/mens-college-basketball/team/_/id/236/chattanooga-mocs
52,https://www.espn.com/mens-college-basketball/team/_/id/331/eastern-washington-eagles
53,https://www.espn.com/mens-college-basketball/team/_/id/301/san-diego-toreros
54,https://www.espn.com/mens-college-basketball/team/_/id/3084/utah-valley-wolverines
55,https://www.espn.com/mens-college-basketball/team/_/id/239/baylor-bears
56,https://www.espn.com/mens-college-basketball/team/_/id/2541/santa-clara-broncos
57,https://www.espn.com/mens-college-basketball/team/_/id/242/rice-owls
58,https://www.espn.com/mens-college-basketball/team/_/id/154/wake-forest-demon-deacons
59,https://www.espn.com/mens-college-basketball/team/_/id/56/stetson-hatters
60,https://www.espn.com/mens-college-basketball/team/_/id/2174/detroit-mercy-titans
61,https://www.espn.com/mens-college-basketball/team/_/id/88/southern-indiana-screaming-eagles
62,https://www.espn.com/mens-college-basketball/team/_/id/156/creighton-bluejays
63,https://www.espn.com/mens-college-basketball/team/_/id/299/long-beach-state-beach
64,https://www.espn.com/mens-college-basketball/team/_/id/2057/belmont-bruins
65,https://www.espn.com/mens-college-basketball/team/_/id/2050/ball-state-cardinals
66,https://www.espn.com/mens-college-basketball/team/_/id/288/lipscomb-bisons
67,https://www.espn.com/mens-college-basketball/team/_/id/45/george-washington-colonials
68,https://www.espn.com/mens-college-basketball/team/_/id/2454/north-florida-ospreys
69,https://www.espn.com/mens-college-basketball/team/_/id/2502/portland-state-vikings
70,https://www.espn.com/mens-college-basketball/team/_/id/2539/san-francisco-dons
71,https://www.espn.com/mens-college-basketball/team/_/id/153/north-carolina-tar-heels
72,https://www.espn.com/mens-college-basketball/team/_/id/2309/kent-state-golden-flashes
73,https://www.espn.com/mens-college-basketball/team/_/id/314/iona-gaels
74,https://www.espn.com/mens-college-basketball/team/_/id/277/west-virginia-mountaineers
75,https://www.espn.com/mens-college-basketball/team/_/id/189/bowling-green-falcons
76,https://www.espn.com/mens-college-basketball/team/_/id/2617/stephen-f-austin-lumberjacks
77,https://www.espn.com/mens-college-basketball/team/_/id/279/pacific-tigers
78,https://www.espn.com/mens-college-basketball/team/_/id/2450/norfolk-state-spartans
79,https://www.espn.com/mens-college-basketball/team/_/id/43/yale-bulldogs
80,https://www.espn.com/mens-college-basketball/team/_/id/2447/nicholls-colonels
81,https://www.espn.com/mens-college-basketball/team/_/id/3101/utah-tech-trailblazers
82,https://www.espn.com/mens-college-basketball/team/_/id/2428/north-carolina-central-eagles
83,https://www.espn.com/mens-college-basketball/team/_/id/139/saint-louis-billikens
84,https://www.espn.com/mens-college-basketball/team/_/id/2306/kansas-state-wildcats
85,https://www.espn.com/mens-college-basketball/team/_/id/2305/kansas-jayhawks
86,https://www.espn.com/mens-college-basketball/team/_/id/252/byu-cougars
87,https://www.espn.com/mens-college-basketball/team/_/id/163/princeton-tigers
88,https://www.espn.com/mens-college-basketball/team/_/id/2031/little-rock-trojans
89,https://www.espn.com/mens-college-basketball/team/_/id/2351/loyola-marymount-lions
90,https://www.espn.com/mens-college-basketball/team/_/id/47/howard-bison
91,https://www.espn.com/mens-college-basketball/team/_/id/221/pittsburgh-panthers
92,https://www.espn.com/mens-college-basketball/team/_/id/2253/grand-canyon-lopes
93,https://www.espn.com/mens-college-basketball/team/_/id/2275/hofstra-pride
94,https://www.espn.com/mens-college-basketball/team/_/id/2628/tcu-horned-frogs
95,https://www.espn.com/mens-college-basketball/team/_/id/338/kennesaw-state-owls
96,https://www.espn.com/mens-college-basketball/team/_/id/219/pennsylvania-quakers
97,https://www.espn.com/mens-college-basketball/team/_/id/2000/abilene-christian-wildcats
98,https://www.espn.com/mens-college-basketball/team/_/id/2415/morgan-state-bears
99,https://www.espn.com/mens-college-basketball/team/_/id/84/indiana-hoosiers
100,https://www.espn.com/mens-college-basketball/team/_/id/2453/north-alabama-lions
101,https://www.espn.com/mens-college-basketball/team/_/id/2184/duquesne-dukes
102,https://www.espn.com/mens-college-basketball/team/_/id/2335/liberty-flames
103,https://www.espn.com/mens-college-basketball/team/_/id/300/uc-irvine-anteaters
104,https://www.espn.com/mens-college-basketball/team/_/id/2181/drake-bulldogs
105,https://www.espn.com/mens-college-basketball/team/_/id/302/uc-davis-aggies
106,https://www.espn.com/mens-college-basketball/team/_/id/2747/wofford-terriers
107,https://www.espn.com/mens-college-basketball/team/_/id/228/clemson-tigers
108,https://www.espn.com/mens-college-basketball/team/_/id/248/houston-cougars
109,https://www.espn.com/mens-college-basketball/team/_/id/2272/high-point-panthers
110,https://www.espn.com/mens-college-basketball/team/_/id/96/kentucky-wildcats
111,https://www.espn.com/mens-college-basketball/team/_/id/2006/akron-zips
112,https://www.espn.com/mens-college-basketball/team/_/id/2466/northwestern-state-demons
113,https://www.espn.com/mens-college-basketball/team/_/id/2565/siu-edwardsville-cougars
114,https://www.espn.com/mens-college-basketball/team/_/id/2717/western-carolina-catamounts
115,https://www.espn.com/mens-college-basketball/team/_/id/2427/unc-asheville-bulldogs
116,https://www.espn.com/mens-college-basketball/team/_/id/8/arkansas-razorbacks
117,https://www.espn.com/mens-college-basketball/team/_/id/2378/umbc-retrievers
118,https://www.espn.com/mens-college-basketball/team/_/id/356/illinois-fighting-illini
119,https://www.espn.com/mens-college-basketball/team/_/id/26/ucla-bruins
120,https://www.espn.com/mens-college-basketball/team/_/id/2439/unlv-rebels
121,https://www.espn.com/mens-college-basketball/team/_/id/2900/st-thomas---minnesota-tommies
