,Pre1,Pre2,UAA1,UAA2,Total1,Total2
Catch + Shoot (Set),5/23,21.7,5/20,25.0,10/43,23.3
Catch + Shoot (Moving),1/9,11.1,1/2,50.0,2/11,18.2
Dribble Pull-Up,4/14,28.6,5/11,45.5,9/25,36.0
Total,10/46,21.7,11/33,33.3,21/79,26.6
