10/28/22,Hope,P,L,1,,,,,,,,,11/1/22,Concordia,Perimeter/Strip,
10/28/22,Elliot Paschal,RE,P,0,,,,,,,,,11/1/22,Josh Preston,Reversal/Pass,
10/28/22,Hope,P,L,1,,,,,,,,,11/1/22,Concordia,Perimeter/Strip,
10/28/22,Hope,P,L,0,,,,,,,,,11/1/22,Elliot Paschal,Drive,
10/28/22,Joe Berry,LE,F,0,,,,,,,,,11/1/22,Concordia,Reversal/Pass,
10/28/22,Hope,TK,P,1,,,,,,,,,11/1/22,Concordia,Drive,
10/28/22,Joe Berry,P,L,0,,,,,,,,,11/1/22,Concordia,Off-Ball,
10/28/22,Hope,P,L,1,,,,,,,,,11/1/22,Skyler Twyman,Perimeter/Strip,
10/28/22,Thomas Kurowski,P,L,0,,,,,,,,,11/1/22,Concordia,Perimeter/Strip,
10/28/22,Thomas Kurowski,P,L,0,,,,,,,,,11/1/22,Ezra Moos,Perimeter/Strip,
10/28/22,Hope,T,S,1,,,,,,,,,11/1/22,Josh Preston,Drive,
10/28/22,Ezra Moos,RC,S,0,,,,,,,,,11/1/22,Concordia,Perimeter/Strip,
10/28/22,Hope,P,L,1,,,,,,,,,11/1/22,Elliot Paschal,Reversal/Pass,
10/28/22,Thomas Kurowski,LW,M,1,,,,,,,,,11/1/22,Elliot Paschal,Drive,
10/28/22,Hope,TK,P,0,,,,,,,,,11/1/22,Skyler Twyman,Perimeter/Strip,
10/28/22,Thomas Kurowski,RW,P,1,,,,,,,,,11/1/22,Ezra Moos,Perimeter/Strip,
10/28/22,Hope,LC,S,0,,,,,,,,,11/1/22,Thomas Kurowski,Perimeter/Strip,
10/28/22,Thomas Kurowski,RW,P,1,,,,,,,,,11/1/22,Thomas Kurowski,Drive,
10/28/22,Hope,P,L,0,,,,,,,,,11/1/22,Concordia,Drive,
10/28/22,Hope,P,L,1,,,,,,,,,11/1/22,Alec Bryan,Post Entry,
10/28/22,Thomas Kurowski,P,L,0,,,,,,,,,11/1/22,Leonardo Edo,Reversal/Pass,
10/28/22,Hope,P,F,1,,,,,,,,,11/1/22,Josh Preston,Post Entry,
10/28/22,Thomas Kurowski,LW,B,0,,,,,,,,,11/1/22,Thomas Kurowski,Drive,
10/28/22,Hope,P,L,0,,,,,,,,,11/1/22,Concordia,Reversal/Pass,
10/28/22,Ezra Moos,P,L,1,,,,,,,,,11/1/22,Joe Berry,Reversal/Pass,
10/28/22,Hope,LW,P,0,,,,,,,,,11/1/22,Elliot Paschal,Drive,
10/28/22,Thomas Kurowski,P,L,1,,,,,,,,,11/1/22,Concordia,Drive,
