,Team,POSS,PPP,PTS DIFF PER80,REB%,ORB%,DRB%,TO%
0,UChicago,81.95,0.81,21.88,57.4,42.4,67.7,15.6
0,Opponent,78.97,0.53,-21.88,0.43,0.32,0.58,0.14
2,Team,POSS,PPP,PTS DIFF PER80,REB%,ORB%,DRB%,TO%
