,Time,Action,Team
108,00:21,"Assist by AUZA,MARIANE",Emory
109,09:51,"LAUDICK,MORGAN missed layup",Emory
110,09:48,"OR,CATHERINE defensive rebound",Opponent
111,09:29,"NAMBISAN,ISHA missed 3-pt. jump shot",Opponent
112,09:26,TEAM defensive rebound,Emory
113,09:11,"Foul by CHINTALA,ANISHA",Opponent
114,09:11,"ANGWIN,ELLEN
                                 goes to the bench",Opponent
115,09:11,"BLACK,AVA
                                 enters the game",Opponent
116,09:11,"BROCK,CLAIRE made free throw",Emory
117,09:11,"BROCK,CLAIRE made free throw",Emory
118,08:59,"Turnover by OR,CATHERINE",Opponent
119,08:42,"BROCK,CLAIRE made layup",Emory
120,08:42,"Assist by ARONSKY,DANIELLA",Emory
121,08:29,"NAMBISAN,ISHA missed 3-pt. jump shot",Opponent
122,08:25,"AUZA,MARIANE defensive rebound",Emory
123,08:20,"LAUDICK,MORGAN made layup",Emory
124,08:20,"Assist by ARONSKY,DANIELLA",Emory
125,08:15,30SEC TIMEOUT by Carnegie Mellon,Opponent
126,08:15,"NAMBISAN,ISHA
                                 goes to the bench",Opponent
127,08:15,"MATSKO,MEGAN
                                 enters the game",Opponent
128,08:04,"GIBBS,SAVANNAH made jump shot",Opponent
129,08:04,"Assist by MATSKO,MEGAN",Opponent
130,07:51,"BROCK,CLAIRE made 3-pt. jump shot",Emory
131,07:51,"Assist by AUZA,MARIANE",Emory
132,07:33,"Turnover by GIBBS,SAVANNAH",Opponent
133,07:19,"BROCK,CLAIRE missed 3-pt. jump shot",Emory
134,07:16,TEAM defensive rebound,Opponent
135,06:55,"Foul by MARTIN,ERIN",Emory
136,06:55,"LAUDICK,MORGAN
                                 goes to the bench",Emory
137,06:55,"GROSS,PAIGE
                                 enters the game",Emory
138,06:55,"BLACK,AVA
                                 goes to the bench",Opponent
139,06:55,"ANGWIN,ELLEN
                                 enters the game",Opponent
140,06:55,"CHINTALA,ANISHA made free throw",Opponent
141,06:55,"CHINTALA,ANISHA made free throw",Opponent
142,06:49,"Foul by MATSKO,MEGAN",Opponent
143,06:49,"ARONSKY,DANIELLA missed free throw",Emory
144,06:49,TEAM deadball rebound,Emory
145,06:49,"ARONSKY,DANIELLA made free throw",Emory
146,06:49,"AUZA,MARIANE
                                 goes to the bench",Emory
147,06:49,"MUNSON,IZZY
                                 enters the game",Emory
148,06:28,"CHINTALA,ANISHA missed layup",Opponent
149,06:22,"MUNSON,IZZY defensive rebound",Emory
150,06:06,"GROSS,PAIGE made 3-pt. jump shot",Emory
151,06:06,"Assist by BROCK,CLAIRE",Emory
152,05:41,"CHINTALA,ANISHA missed jump shot",Opponent
153,05:37,"MARTIN,ERIN defensive rebound",Emory
154,05:32,"MUNSON,IZZY missed layup",Emory
155,05:28,"OR,CATHERINE defensive rebound",Opponent
156,05:24,"Foul by BROCK,CLAIRE",Emory
157,05:24,"ARONSKY,DANIELLA
                                 goes to the bench",Emory
158,05:24,"MARTIN,ERIN
                                 goes to the bench",Emory
159,05:24,"KENNEDY,LILY
                                 enters the game",Emory
160,05:24,"LAUDICK,MORGAN
                                 enters the game",Emory
161,05:24,"ANGWIN,ELLEN
                                 goes to the bench",Opponent
162,05:24,"BLACK,AVA
                                 enters the game",Opponent
163,05:10,"BLACK,AVA missed layup",Opponent
164,05:04,"MATSKO,MEGAN offensive rebound",Opponent
165,05:01,"BLACK,AVA missed layup",Opponent
166,04:59,"LAUDICK,MORGAN defensive rebound",Emory
167,04:58,"BROCK,CLAIRE missed jump shot",Emory
168,04:55,"MATSKO,MEGAN defensive rebound",Opponent
169,04:48,"Turnover by BLACK,AVA",Opponent
170,04:48,"MATSKO,MEGAN
                                 goes to the bench",Opponent
171,04:48,"LIGOTTI,PIPER
                                 enters the game",Opponent
172,04:18,"MUNSON,IZZY made layup",Emory
173,04:11,"LIGOTTI,PIPER missed 3-pt. jump shot",Opponent
174,04:06,"LAUDICK,MORGAN defensive rebound",Emory
175,03:49,"BROCK,CLAIRE missed layup",Emory
176,03:49,"Block by BLACK,AVA",Opponent
