,Time,Action,Team
106,00:15,"MILLER,EVIE offensive rebound",Opponent
107,00:14,"MILLER,EVIE missed jump shot",Opponent
108,00:08,"MILLER,EVIE offensive rebound",Opponent
109,00:07,"CHARACKLIS,KAYLA made jump shot",Opponent
110,00:07,"Assist by MILLER,EVIE",Opponent
111,00:00,"Turnover by ARONSKY,DANIELLA",Emory
112,00:00,"Steal by VANDERBECK,LUCY",Opponent
113,10:00,"KENNEDY,LILY
                                 goes to the bench",Emory
114,10:00,"BROCK,CLAIRE
                                 enters the game",Emory
115,09:41,"AUZA,MARIANE made jump shot",Emory
116,09:41,"Assist by ARONSKY,DANIELLA",Emory
117,09:10,"MILLS,ISABELLA missed 3-pt. jump shot",Opponent
118,09:07,"AUZA,MARIANE defensive rebound",Emory
119,09:02,"BROCK,CLAIRE missed 3-pt. jump shot",Emory
120,08:58,"MITCHELL,SARAH defensive rebound",Opponent
121,08:52,"AUZA,MARIANE
                                 goes to the bench",Emory
122,08:52,"LAUDICK,MORGAN
                                 goes to the bench",Emory
123,08:52,"GROSS,PAIGE
                                 enters the game",Emory
124,08:52,"MUNSON,IZZY
                                 enters the game",Emory
125,08:52,"VANDERBECK,LUCY
                                 goes to the bench",Opponent
126,08:52,"MITCHELL,SARAH
                                 goes to the bench",Opponent
127,08:52,"TERRY,MARGARET
                                 enters the game",Opponent
128,08:52,"PLACHTA,EMILY
                                 enters the game",Opponent
129,08:35,"TERRY,MARGARET missed layup",Opponent
130,08:33,"MUNSON,IZZY defensive rebound",Emory
131,08:04,"MUNSON,IZZY missed 3-pt. jump shot",Emory
132,08:03,TEAM deadball rebound,Emory
133,08:03,Turnover by TEAM,Emory
134,07:49,"MILLS,ISABELLA made layup",Opponent
135,07:37,"MUNSON,IZZY missed layup",Emory
136,07:37,"Block by MILLER,EVIE",Opponent
137,07:32,"CHARACKLIS,KAYLA defensive rebound",Opponent
138,07:27,"MILLS,ISABELLA missed layup",Opponent
139,07:23,"MILLER,EVIE offensive rebound",Opponent
140,07:23,"MILLER,EVIE missed layup",Opponent
141,07:19,"MARTIN,ERIN defensive rebound",Emory
142,07:07,"MUNSON,IZZY missed 3-pt. jump shot",Emory
143,07:04,"MARTIN,ERIN offensive rebound",Emory
144,07:04,"MARTIN,ERIN made layup",Emory
145,07:04,"Foul by MILLER,EVIE",Opponent
146,07:04,"MILLS,ISABELLA
                                 goes to the bench",Opponent
147,07:04,"VANDERBECK,LUCY
                                 enters the game",Opponent
148,07:04,"MARTIN,ERIN missed free throw",Emory
149,07:03,"MILLER,EVIE defensive rebound",Opponent
150,06:54,"VANDERBECK,LUCY missed 3-pt. jump shot",Opponent
151,06:51,TEAM offensive rebound,Opponent
152,06:51,"MARTIN,ERIN
                                 goes to the bench",Emory
153,06:51,"LAUDICK,MORGAN
                                 enters the game",Emory
154,06:51,"MILLER,EVIE
                                 goes to the bench",Opponent
155,06:51,"GILL,PREET
                                 enters the game",Opponent
156,06:33,"Turnover by PLACHTA,EMILY",Opponent
157,06:33,"Steal by MUNSON,IZZY",Emory
158,06:17,"ARONSKY,DANIELLA made layup",Emory
159,06:17,"Assist by BROCK,CLAIRE",Emory
160,06:16,30SEC TIMEOUT by Case Western Reserve,Opponent
161,06:16,"MUNSON,IZZY
                                 goes to the bench",Emory
162,06:16,"KENNEDY,LILY
                                 enters the game",Emory
163,05:58,"PLACHTA,EMILY missed 3-pt. jump shot",Opponent
164,05:55,TEAM defensive rebound,Emory
165,05:49,"KENNEDY,LILY missed 3-pt. jump shot",Emory
166,05:44,"LAUDICK,MORGAN offensive rebound",Emory
167,05:38,"Foul by TERRY,MARGARET",Opponent
168,05:24,"GROSS,PAIGE missed 3-pt. jump shot",Emory
169,05:20,"BROCK,CLAIRE offensive rebound",Emory
