Opponent,W/L,Margin,POSS,OPP POSS,PPP,OPP PPP,REB,OPP REB,ORB%,DRB%,RB%,TO%
Calvin,L,-8,69.6,68.1,0.82,0.95,30,33,21.2,76.7,47.599999999999994,27.3
DePauw,W,8,68.7,67.0,0.93,0.84,34,41,25.6,66.7,45.300000000000004,20.4
Carthage,W,20,67.5,66.9,1.05,0.76,44,31,30.0,77.8,58.699999999999996,25.2
Hope,L,-32,67.3,65.6,0.77,1.28,36,44,27.900000000000002,64.9,45.0,22.3
Concordia Wisconsin,L,-5,62.3,60.5,1.0,1.11,25,37,23.5,60.699999999999996,40.300000000000004,19.3
Edgewood,W,26,63.6,63.2,0.94,0.54,43,32,35.0,82.89999999999999,57.3,22.0
Benedictine (IL),W,15,68.2,66.5,0.79,0.59,29,34,17.599999999999998,79.3,46.0,30.8
Dominican (IL),W,45,78.3,69.9,1.06,0.54,42,38,34.1,71.8,52.5,17.9
Total,,69,68.2,66.0,0.92,0.82,283,290,27.200000000000003,72.8,49.4,23.1
