,Lineup,GP,MP,PTS,OPP PTS,+/-,AST,OREB,OPP OREB,DREB,FG%,FGA,OPP FG%,OPP FGA,3P%,3PA,OPP 3P%,3PA,FTA,FT%,TO,OPP TO,STL,BLK,PF,OPP PF
27,"Arrish Bhandal, Bryce Hopkins, Kerem Öztürk, Leonardo Edo, Thomas Kurowski",1,6.28,9,7,2,1,1,2,4,0.57,7,0.38,8,0.33,3,0.5,2,0,0.0,2,1,0,1,1,1
28,"Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman",2,6.23,7,7,0,0,3,1,3,0.25,12,0.43,7,0.4,5,0.25,4,2,0.5,1,3,0,0,3,4
29,"Bryce Hopkins, Elliot Paschal, Ryan Martin, Skyler Twyman, Zach Munson",5,6.1,11,12,-1,2,5,1,3,0.38,16,0.5,12,0.4,5,0.5,2,4,0.75,1,1,1,0,4,2
30,"Arrish Bhandal, Brandon Beckman, Leonardo Edo, Skyler Twyman, Thomas Kurowski",4,6.1,8,10,-2,1,1,1,3,0.33,9,0.58,12,0.5,4,1.0,1,0,0.0,3,4,1,0,7,1
31,"Brandon Beckman, Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Thomas Kurowski",4,5.88,6,6,0,1,1,1,6,0.45,11,0.33,12,0.0,3,0.0,3,4,1.0,2,1,1,2,2,3
32,"Arrish Bhandal, Elliot Paschal, Leonardo Edo, Skyler Twyman, Thomas Kurowski",3,5.53,10,8,2,1,1,6,4,0.64,11,0.27,15,0.0,2,0.25,4,5,0.8,2,1,0,2,2,3
33,"Brandon Beckman, Bryce Hopkins, Leonardo Edo, Skyler Twyman, Thomas Kurowski",3,5.47,8,14,-6,2,2,2,2,0.43,7,0.6,10,0.4,5,0.5,4,0,0.0,3,1,0,1,3,2
34,"Brandon Beckman, Bryce Hopkins, Leonardo Edo, Thomas Kurowski, Zach Munson",3,5.32,7,15,-8,2,5,0,2,0.25,12,0.71,7,0.33,3,1.0,5,0,0.0,1,1,1,0,2,2
35,"Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Skyler Twyman, Thomas Kurowski",2,4.88,3,12,-9,0,0,0,3,0.2,5,0.64,11,0.33,3,0.33,3,0,0.0,2,0,0,0,3,2
36,"Ezra Moos, Jackson Piotrowski, Leonardo Edo, Skyler Twyman, Thomas Kurowski",1,4.82,14,15,-1,5,2,2,2,0.45,11,0.6,10,0.44,9,0.6,5,0,0.0,0,0,0,1,0,1
37,"Alec Bryan, Brandon Beckman, Bryce Hopkins, Ryan Martin, Thomas Kurowski",3,4.8,10,6,4,0,0,2,2,0.78,9,0.43,7,0.0,0,0.0,1,4,1.0,0,1,0,3,1,3
38,"Arrish Bhandal, Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin",2,4.52,7,12,-5,2,2,1,5,0.38,8,0.5,14,0.25,4,0.5,2,0,0.0,2,1,0,0,3,1
39,"Alec Bryan, Brandon Beckman, Bryce Hopkins, Skyler Twyman, Thomas Kurowski",2,4.45,6,10,-4,0,0,1,3,0.43,7,0.56,9,0.5,2,0.4,5,2,0.5,0,1,0,0,1,2
40,"Arrish Bhandal, Brandon Beckman, Leonardo Edo, Ryan Martin, Thomas Kurowski",3,4.45,10,4,6,1,1,0,5,0.67,9,0.44,9,0.0,1,0.0,2,2,1.0,1,1,0,1,4,2
41,"Alec Bryan, Brandon Beckman, Bryce Hopkins, Elliot Paschal, Skyler Twyman",1,4.37,6,11,-5,1,2,1,0,0.38,8,0.83,6,0.0,4,0.5,2,0,0.0,0,1,1,0,1,1
42,"Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Ryan Martin, Thomas Kurowski",4,4.32,5,10,-5,2,1,0,4,0.4,5,0.56,9,0.33,3,0.25,4,1,0.0,5,1,0,1,4,3
43,"Alec Bryan, Bryce Hopkins, Elliot Paschal, Skyler Twyman, Thomas Kurowski",2,4.27,8,10,-2,2,1,0,2,0.5,8,0.62,8,0.33,3,1.0,2,1,1.0,1,1,0,0,3,2
44,"Arrish Bhandal, Jackson Piotrowski, Kerem Öztürk, Leonardo Edo, Thomas Kurowski",1,4.08,9,9,0,2,0,0,2,0.57,7,0.67,6,0.5,4,1.0,1,1,1.0,1,0,0,0,1,1
45,"Brandon Beckman, Bryce Hopkins, Ezra Moos, Ryan Martin, Zach Munson",2,4.03,6,7,-1,1,1,1,2,0.57,7,0.5,6,0.0,2,1.0,1,3,0.67,2,0,0,0,0,3
46,"Alec Bryan, Brandon Beckman, Bryce Hopkins, Elliot Paschal, Thomas Kurowski",1,3.98,4,8,-4,0,1,1,3,0.33,6,0.43,7,0.0,3,0.5,4,0,0.0,2,1,0,0,1,1
47,"Alec Bryan, Arrish Bhandal, Ryan Martin, Skyler Twyman, Thomas Kurowski",2,3.87,2,8,-6,0,2,0,2,0.14,7,0.71,7,0.0,2,0.0,0,0,0.0,2,0,0,0,3,2
48,"Arrish Bhandal, Elliot Paschal, Leonardo Edo, Ryan Martin, Skyler Twyman",2,3.72,10,9,1,3,0,2,2,1.0,5,0.5,8,1.0,1,0.33,3,1,1.0,1,0,0,0,0,0
49,"Leonardo Edo, Ryan Martin, Skyler Twyman, Thomas Kurowski, Zach Munson",2,3.62,6,7,-1,1,3,0,3,0.33,9,0.5,8,0.25,4,0.0,1,2,0.5,1,0,0,0,1,2
50,"Arrish Bhandal, Dashiel Walker, Ezra Moos, Ignas Masiulionis, Thomas Kurowski",1,3.43,9,12,-3,2,2,2,1,0.58,12,0.79,14,0.0,1,0.0,0,6,0.83,1,1,0,0,6,3
51,"Alec Bryan, Elliot Paschal, Ryan Martin, Skyler Twyman, Zach Munson",3,3.23,5,1,4,1,0,0,5,0.33,6,0.14,7,0.33,3,0.0,1,1,0.0,0,1,0,0,1,0
52,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Skyler Twyman, Zach Munson",2,3.23,7,7,0,2,1,1,2,0.6,5,0.5,6,1.0,1,0.5,2,0,0.0,2,0,0,1,1,0
53,"Alec Bryan, Brandon Beckman, Ryan Martin, Skyler Twyman, Zach Munson",1,3.17,10,6,4,0,1,0,4,0.75,8,0.43,7,1.0,1,0.0,0,4,0.75,1,0,0,0,1,2
54,"Brandon Beckman, Bryce Hopkins, Jackson Piotrowski, Skyler Twyman, Thomas Kurowski",2,3.12,6,2,4,2,2,0,3,0.5,6,0.25,4,0.0,1,0.0,1,0,0.0,2,1,0,0,0,1
55,"Alec Bryan, Brandon Beckman, Bryce Hopkins, Elliot Paschal, Ryan Martin",2,3.08,4,10,-6,0,0,1,2,0.8,5,0.56,9,0.0,1,0.5,2,4,1.0,3,0,0,0,3,3
56,"Alec Bryan, Jackson Piotrowski, Kerem Öztürk, Skyler Twyman, Thomas Kurowski",1,3.07,0,8,-8,0,1,0,2,0.0,6,0.71,7,0.0,2,0.0,0,0,0.0,1,1,1,0,2,0
57,"Alec Bryan, Bryce Hopkins, Elliot Paschal, Ryan Martin, Skyler Twyman",2,3.02,7,3,4,1,0,1,2,0.6,5,0.25,4,0.5,2,0.5,2,0,0.0,0,1,0,1,1,1
58,"Elliot Paschal, Leonardo Edo, Skyler Twyman, Thomas Kurowski, Zach Munson",2,2.98,7,4,3,1,1,0,0,0.67,6,1.0,2,1.0,1,0.0,0,2,1.0,0,2,1,0,0,2
59,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Skyler Twyman, Thomas Kurowski",1,2.9,2,4,-2,0,2,0,1,0.25,8,0.67,3,0.0,3,0.0,1,2,1.0,0,1,0,0,0,2
60,"Alec Bryan, Brandon Beckman, Skyler Twyman, Thomas Kurowski, Zach Munson",1,2.9,8,4,4,0,0,0,1,1.0,4,0.67,3,0.0,0,0.0,0,0,0.0,1,2,1,0,0,0
61,"Alec Bryan, Dashiel Walker, Ezra Moos, Ignas Masiulionis, Kerem Öztürk",2,2.87,5,7,-2,1,0,0,1,0.5,4,0.8,5,0.33,3,1.0,1,0,0.0,1,0,0,0,2,0
62,"Alec Bryan, Brandon Beckman, Leonardo Edo, Ryan Martin, Thomas Kurowski",2,2.87,3,8,-5,1,0,0,4,0.2,5,0.56,9,0.25,4,0.33,3,0,0.0,2,0,0,1,1,0
63,"Brandon Beckman, Bryce Hopkins, Ezra Moos, Leonardo Edo, Zach Munson",2,2.85,4,4,0,0,0,1,3,0.5,4,0.25,8,0.0,0,0.2,5,1,0.0,2,0,0,0,2,1
64,"Alec Bryan, Arrish Bhandal, Kerem Öztürk, Skyler Twyman, Thomas Kurowski",1,2.85,4,2,2,1,1,0,3,0.4,5,0.4,5,0.5,2,0.0,2,2,0.5,1,0,0,0,1,1
65,"Alec Bryan, Ezra Moos, Jackson Piotrowski, Skyler Twyman, Thomas Kurowski",1,2.83,3,0,3,1,4,0,5,0.12,8,0.0,5,0.25,4,0.0,2,2,0.0,2,0,0,1,1,1
66,"Alec Bryan, Elliot Paschal, Kerem Öztürk, Leonardo Edo, Ryan Martin",2,2.78,6,5,1,1,1,4,3,0.6,5,0.22,9,0.0,2,0.5,2,0,0.0,0,0,0,2,2,0
67,"Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Ezra Moos, Skyler Twyman",2,2.78,2,10,-8,0,0,2,1,0.25,4,0.62,8,0.0,3,0.5,2,0,0.0,1,0,0,1,1,0
68,"Alec Bryan, Brandon Beckman, Bryce Hopkins, Elliot Paschal, Zach Munson",1,2.77,0,6,-6,0,0,0,2,0.0,4,0.67,6,0.0,1,0.0,0,1,0.0,0,1,0,0,2,2
69,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Thomas Kurowski, Zach Munson",2,2.68,4,7,-3,0,0,2,3,0.5,6,0.5,10,0.0,0,0.0,1,4,0.5,1,0,0,1,2,3
70,"Alec Bryan, Brandon Beckman, Elliot Paschal, Leonardo Edo, Ryan Martin",1,2.68,0,8,-8,0,1,0,1,0.0,4,0.75,4,0.0,3,0.67,3,0,0.0,0,0,0,0,0,2
