,Time,Action,Team
107,10:00,"LAUDICK,MORGAN
                                 enters the game",Emory
108,10:00,"MARTIN,ERIN
                                 enters the game",Emory
109,10:00,"GAYNIER,PAIGE
                                 goes to the bench",Opponent
110,10:00,"BRUNEAU,HAILEY
                                 goes to the bench",Opponent
111,10:00,"DUMIAK,HALEY
                                 goes to the bench",Opponent
112,10:00,"LEVERONE,MAURA
                                 enters the game",Opponent
113,10:00,"SESTRIC,ALEXIS
                                 enters the game",Opponent
114,10:00,"TITUS,KATIE
                                 enters the game",Opponent
115,09:51,"Turnover by LAUDICK,MORGAN",Emory
116,09:51,"Steal by TITUS,KATIE",Opponent
117,09:45,"SESTRIC,ALEXIS made jump shot",Opponent
118,09:45,"Assist by TITUS,KATIE",Opponent
119,09:23,"AUZA,MARIANE made layup",Emory
120,09:13,"TITUS,KATIE made jump shot",Opponent
121,09:13,"Assist by SESTRIC,ALEXIS",Opponent
122,08:47,"Turnover by MARTIN,ERIN",Emory
123,08:47,"Steal by TITUS,KATIE",Opponent
124,08:37,"SESTRIC,ALEXIS missed layup",Opponent
125,08:31,"BROCK,CLAIRE defensive rebound",Emory
126,08:29,"BROCK,CLAIRE made layup",Emory
127,08:09,"TITUS,KATIE missed jump shot",Opponent
128,08:07,TEAM defensive rebound,Emory
129,08:07,"STITES,KELSEY
                                 goes to the bench",Opponent
130,08:07,"BRUNEAU,HAILEY
                                 enters the game",Opponent
131,07:51,"BROCK,CLAIRE missed layup",Emory
132,07:48,"LEVERONE,MAURA defensive rebound",Opponent
133,07:45,"TITUS,KATIE missed layup",Opponent
134,07:43,"ARONSKY,DANIELLA defensive rebound",Emory
135,07:37,"LAUDICK,MORGAN missed layup",Emory
136,07:34,"MCCULLEY,CALLIE defensive rebound",Opponent
137,07:30,"TITUS,KATIE made jump shot",Opponent
138,07:12,"BROCK,CLAIRE made layup",Emory
139,06:43,"Foul by LAUDICK,MORGAN",Emory
140,06:43,"LAUDICK,MORGAN
                                 goes to the bench",Emory
141,06:43,"GROSS,PAIGE
                                 enters the game",Emory
142,06:43,"SESTRIC,ALEXIS
                                 goes to the bench",Opponent
143,06:43,"GAYNIER,PAIGE
                                 enters the game",Opponent
144,06:35,"Turnover by TITUS,KATIE",Opponent
145,06:35,"Steal by ARONSKY,DANIELLA",Emory
146,06:31,"AUZA,MARIANE made layup",Emory
147,06:31,"Assist by ARONSKY,DANIELLA",Emory
148,06:30,30SEC TIMEOUT by Rochester (N.Y.),Opponent
149,06:20,"Turnover by GAYNIER,PAIGE",Opponent
150,06:20,"Steal by MARTIN,ERIN",Emory
151,05:56,"ARONSKY,DANIELLA missed 3-pt. jump shot",Emory
152,05:53,TEAM defensive rebound,Opponent
153,05:53,"MCCULLEY,CALLIE
                                 goes to the bench",Opponent
154,05:53,"WILLIAMS,RAQUEL
                                 enters the game",Opponent
155,05:39,"Turnover by LEVERONE,MAURA",Opponent
156,05:39,"Steal by AUZA,MARIANE",Emory
157,05:32,"Foul by WILLIAMS,RAQUEL",Opponent
158,05:32,"LEVERONE,MAURA
                                 goes to the bench",Opponent
159,05:32,"STITES,KELSEY
                                 enters the game",Opponent
160,05:32,"BROCK,CLAIRE made free throw",Emory
161,05:32,"BROCK,CLAIRE made free throw",Emory
162,05:13,"BRUNEAU,HAILEY missed 3-pt. jump shot",Opponent
163,05:10,"WILLIAMS,RAQUEL offensive rebound",Opponent
164,05:10,"BRUNEAU,HAILEY
                                 goes to the bench",Opponent
165,05:10,"SESTRIC,ALEXIS
                                 enters the game",Opponent
166,05:10,"Foul by SESTRIC,ALEXIS",Opponent
167,05:10,"Turnover by SESTRIC,ALEXIS",Opponent
168,04:46,"Foul by STITES,KELSEY",Opponent
169,04:46,"AUZA,MARIANE
                                 goes to the bench",Emory
170,04:46,"MUNSON,IZZY
                                 enters the game",Emory
171,04:46,"WILLIAMS,RAQUEL
                                 goes to the bench",Opponent
172,04:46,"MCCULLEY,CALLIE
                                 enters the game",Opponent
173,04:46,"MARTIN,ERIN made free throw",Emory
174,04:46,"MARTIN,ERIN made free throw",Emory
175,04:43,"GAYNIER,PAIGE missed 3-pt. jump shot",Opponent
176,04:37,"ARONSKY,DANIELLA defensive rebound",Emory
177,04:37,"Turnover by ARONSKY,DANIELLA",Emory
178,04:33,"MCCULLEY,CALLIE made layup",Opponent
179,04:33,"Assist by STITES,KELSEY",Opponent
180,04:32,"Foul by MUNSON,IZZY",Emory
181,04:32,"MCCULLEY,CALLIE made free throw",Opponent
182,04:23,"MUNSON,IZZY made layup",Emory
183,04:04,"Foul by BROCK,CLAIRE",Emory
184,04:04,"GAYNIER,PAIGE
                                 goes to the bench",Opponent
185,04:04,"GROENEWOUD,CLAIRE
                                 enters the game",Opponent
186,04:02,"TITUS,KATIE made layup",Opponent
187,04:02,"Assist by MCCULLEY,CALLIE",Opponent
188,03:45,"BROCK,CLAIRE missed layup",Emory
189,03:42,"SESTRIC,ALEXIS defensive rebound",Opponent
190,03:33,"GROENEWOUD,CLAIRE missed 3-pt. jump shot",Opponent
191,03:29,"BROCK,CLAIRE defensive rebound",Emory
192,03:13,"GROSS,PAIGE missed jump shot",Emory
193,03:13,"TITUS,KATIE defensive rebound",Opponent
194,03:13,"Block by TITUS,KATIE",Opponent
195,02:59,"MCCULLEY,CALLIE made layup",Opponent
196,02:59,"Assist by SESTRIC,ALEXIS",Opponent
197,02:41,"Turnover by MARTIN,ERIN",Emory
198,02:41,"Steal by TITUS,KATIE",Opponent
199,02:36,"TITUS,KATIE missed layup",Opponent
200,02:36,TEAM defensive rebound,Emory
201,02:36,"Block by ARONSKY,DANIELLA",Emory
202,02:32,"MUNSON,IZZY
                                 goes to the bench",Emory
203,02:32,"BROCK,CLAIRE
                                 goes to the bench",Emory
204,02:32,"MARTIN,ERIN
                                 goes to the bench",Emory
205,02:32,"KENNEDY,LILY
                                 enters the game",Emory
206,02:32,"AUZA,MARIANE
                                 enters the game",Emory
207,02:32,"MARTINI,KATHERINE
                                 enters the game",Emory
208,02:32,"STITES,KELSEY
                                 goes to the bench",Opponent
209,02:32,"TITUS,KATIE
                                 goes to the bench",Opponent
210,02:32,"LEVERONE,MAURA
                                 enters the game",Opponent
211,02:32,"DUMIAK,HALEY
                                 enters the game",Opponent
212,02:08,"GROSS,PAIGE missed layup",Emory
213,02:03,"GROSS,PAIGE offensive rebound",Emory
214,02:03,"GROSS,PAIGE made layup",Emory
215,01:49,"Foul by MARTINI,KATHERINE",Emory
216,01:49,"GROSS,PAIGE
                                 goes to the bench",Emory
217,01:49,"MARTIN,ERIN
                                 enters the game",Emory
218,01:49,"GROENEWOUD,CLAIRE
                                 goes to the bench",Opponent
219,01:49,"BRUNEAU,HAILEY
                                 enters the game",Opponent
220,01:46,"Foul by AUZA,MARIANE",Emory
221,01:46,"BRUNEAU,HAILEY missed free throw",Opponent
222,01:46,TEAM deadball rebound,Opponent
223,01:46,"BRUNEAU,HAILEY made free throw",Opponent
224,01:18,"MARTINI,KATHERINE missed 3-pt. jump shot",Emory
225,01:13,"MCCULLEY,CALLIE defensive rebound",Opponent
226,00:59,"LEVERONE,MAURA made layup",Opponent
227,00:40,"MARTINI,KATHERINE missed jump shot",Emory
228,00:37,"MCCULLEY,CALLIE defensive rebound",Opponent
229,00:10,"DUMIAK,HALEY made layup",Opponent
230,00:03,"ARONSKY,DANIELLA missed 3-pt. jump shot",Emory
231,00:00,"DUMIAK,HALEY defensive rebound",Opponent
232,10:00,"KENNEDY,LILY
                                 goes to the bench",Emory
233,10:00,"MARTINI,KATHERINE
                                 goes to the bench",Emory
234,10:00,"LAUDICK,MORGAN
                                 enters the game",Emory
235,10:00,"BROCK,CLAIRE
                                 enters the game",Emory
236,10:00,"BRUNEAU,HAILEY
                                 goes to the bench",Opponent
237,10:00,"DUMIAK,HALEY
                                 goes to the bench",Opponent
238,10:00,"STITES,KELSEY
                                 enters the game",Opponent
239,10:00,"TITUS,KATIE
                                 enters the game",Opponent
240,09:35,"AUZA,MARIANE made layup",Emory
241,09:24,"Foul by BROCK,CLAIRE",Emory
242,09:24,"LEVERONE,MAURA made free throw",Opponent
243,09:24,"LEVERONE,MAURA made free throw",Opponent
244,09:11,"AUZA,MARIANE made jump shot",Emory
245,08:54,"TITUS,KATIE missed layup",Opponent
246,08:51,"TITUS,KATIE offensive rebound",Opponent
247,08:50,"LEVERONE,MAURA missed 3-pt. jump shot",Opponent
248,08:47,"LAUDICK,MORGAN defensive rebound",Emory
249,08:32,"AUZA,MARIANE missed layup",Emory
250,08:28,"TITUS,KATIE defensive rebound",Opponent
251,08:25,"Turnover by LEVERONE,MAURA",Opponent
252,08:04,"MARTIN,ERIN missed jump shot",Emory
253,08:04,"Block by MCCULLEY,CALLIE",Opponent
254,08:03,TEAM defensive rebound,Opponent
255,07:48,"MCCULLEY,CALLIE missed layup",Opponent
256,07:45,"BROCK,CLAIRE defensive rebound",Emory
257,07:30,"Foul by STITES,KELSEY",Opponent
258,07:30,"STITES,KELSEY
                                 goes to the bench",Opponent
259,07:30,"BRUNEAU,HAILEY
                                 enters the game",Opponent
260,07:30,"ARONSKY,DANIELLA missed free throw",Emory
261,07:30,TEAM deadball rebound,Emory
262,07:30,"ARONSKY,DANIELLA missed free throw",Emory
263,07:30,"MCCULLEY,CALLIE defensive rebound",Opponent
264,07:10,"MCCULLEY,CALLIE made layup",Opponent
265,07:10,"Assist by TITUS,KATIE",Opponent
266,07:00,"LAUDICK,MORGAN missed 3-pt. jump shot",Emory
267,06:57,"MARTIN,ERIN offensive rebound",Emory
268,06:54,"BROCK,CLAIRE missed 3-pt. jump shot",Emory
269,06:50,"LAUDICK,MORGAN offensive rebound",Emory
270,06:48,"LAUDICK,MORGAN missed layup",Emory
271,06:48,"Block by TITUS,KATIE",Opponent
272,06:42,"AUZA,MARIANE offensive rebound",Emory
273,06:41,"Foul by LEVERONE,MAURA",Opponent
274,06:41,"LAUDICK,MORGAN
                                 goes to the bench",Emory
275,06:41,"GROSS,PAIGE
                                 enters the game",Emory
276,06:39,"AUZA,MARIANE made jump shot",Emory
277,06:39,"Assist by ARONSKY,DANIELLA",Emory
278,06:22,"Foul by ARONSKY,DANIELLA",Emory
279,06:22,"SESTRIC,ALEXIS made free throw",Opponent
280,06:22,"SESTRIC,ALEXIS made free throw",Opponent
281,06:15,"Foul by LEVERONE,MAURA",Opponent
282,06:05,"AUZA,MARIANE made jump shot",Emory
283,06:05,"Assist by BROCK,CLAIRE",Emory
284,05:52,"BRUNEAU,HAILEY missed 3-pt. jump shot",Opponent
285,05:47,"TITUS,KATIE offensive rebound",Opponent
286,05:45,"TITUS,KATIE missed layup",Opponent
287,05:45,"TITUS,KATIE offensive rebound",Opponent
288,05:43,"TITUS,KATIE made layup",Opponent
289,05:43,"MARTIN,ERIN
                                 goes to the bench",Emory
290,05:43,"KREUSSER,CHLOE
                                 enters the game",Emory
291,05:33,"AUZA,MARIANE missed layup",Emory
292,05:30,"TITUS,KATIE defensive rebound",Opponent
293,05:19,"SESTRIC,ALEXIS missed layup",Opponent
294,05:16,"KREUSSER,CHLOE defensive rebound",Emory
295,05:08,"Turnover by AUZA,MARIANE",Emory
296,05:08,"Steal by BRUNEAU,HAILEY",Opponent
297,04:58,"Turnover by LEVERONE,MAURA",Opponent
298,04:58,"Steal by ARONSKY,DANIELLA",Emory
299,04:53,"GROSS,PAIGE missed jump shot",Emory
300,04:49,"LEVERONE,MAURA defensive rebound",Opponent
301,04:31,"TITUS,KATIE missed 3-pt. jump shot",Opponent
302,04:28,TEAM offensive rebound,Opponent
303,04:28,"Foul by KREUSSER,CHLOE",Emory
304,04:28,"AUZA,MARIANE
                                 goes to the bench",Emory
305,04:28,"MUNSON,IZZY
                                 enters the game",Emory
306,04:28,"LEVERONE,MAURA
                                 goes to the bench",Opponent
307,04:28,"STITES,KELSEY
                                 enters the game",Opponent
308,04:25,"TITUS,KATIE made layup",Opponent
309,04:25,"Assist by STITES,KELSEY",Opponent
310,04:03,"GROSS,PAIGE made jump shot",Emory
311,04:03,"Assist by ARONSKY,DANIELLA",Emory
312,03:45,"MCCULLEY,CALLIE missed layup",Opponent
313,03:42,"BROCK,CLAIRE defensive rebound",Emory
314,03:32,"MUNSON,IZZY missed 3-pt. jump shot",Emory
315,03:28,"STITES,KELSEY defensive rebound",Opponent
316,03:15,"Foul by MUNSON,IZZY",Emory
317,03:15,"ARONSKY,DANIELLA
                                 goes to the bench",Emory
318,03:15,"GROSS,PAIGE
                                 goes to the bench",Emory
319,03:15,"KENNEDY,LILY
                                 enters the game",Emory
320,03:15,"MARTIN,ERIN
                                 enters the game",Emory
321,03:14,"MCCULLEY,CALLIE made layup",Opponent
322,03:14,"Assist by TITUS,KATIE",Opponent
323,03:05,"Turnover by KENNEDY,LILY",Emory
324,03:05,"Steal by TITUS,KATIE",Opponent
325,03:00,"SESTRIC,ALEXIS made jump shot",Opponent
326,03:00,"Assist by TITUS,KATIE",Opponent
327,02:53,TEAM TIMEOUT by Opponent,Emory
328,02:53,"KENNEDY,LILY
                                 goes to the bench",Emory
329,02:53,"KREUSSER,CHLOE
                                 goes to the bench",Emory
330,02:53,"MUNSON,IZZY
                                 goes to the bench",Emory
331,02:53,"ARONSKY,DANIELLA
                                 enters the game",Emory
332,02:53,"AUZA,MARIANE
                                 enters the game",Emory
333,02:53,"LAUDICK,MORGAN
                                 enters the game",Emory
334,02:28,"MARTIN,ERIN missed layup",Emory
335,02:28,TEAM defensive rebound,Opponent
336,02:12,"TITUS,KATIE missed 3-pt. jump shot",Opponent
337,02:09,"SESTRIC,ALEXIS offensive rebound",Opponent
338,02:09,30SEC TIMEOUT by Rochester (N.Y.),Opponent
339,02:04,"SESTRIC,ALEXIS made layup",Opponent
340,01:52,"AUZA,MARIANE made jump shot",Emory
341,01:34,"TITUS,KATIE made layup",Opponent
342,01:10,"Foul by STITES,KELSEY",Opponent
343,01:10,"STITES,KELSEY
                                 goes to the bench",Opponent
344,01:10,"SESTRIC,ALEXIS
                                 goes to the bench",Opponent
345,01:10,"MCCULLEY,CALLIE
                                 goes to the bench",Opponent
346,01:10,"LEVERONE,MAURA
                                 enters the game",Opponent
347,01:10,"GAYNIER,PAIGE
                                 enters the game",Opponent
348,01:10,"WILLIAMS,RAQUEL
                                 enters the game",Opponent
349,01:10,"BROCK,CLAIRE made free throw",Emory
350,01:10,"BROCK,CLAIRE made free throw",Emory
351,00:48,"Turnover by WILLIAMS,RAQUEL",Opponent
352,00:41,"BROCK,CLAIRE made jump shot",Emory
353,00:41,"Assist by ARONSKY,DANIELLA",Emory
354,00:11,"WILLIAMS,RAQUEL missed jump shot",Opponent
355,00:08,"MARTIN,ERIN defensive rebound",Emory
356,00:01,"MARTIN,ERIN missed 3-pt. jump shot",Emory
357,00:00,TEAM deadball rebound,Emory
358,10:00,"GAYNIER,PAIGE
                                 goes to the bench",Opponent
359,10:00,"WILLIAMS,RAQUEL
                                 goes to the bench",Opponent
360,10:00,"SESTRIC,ALEXIS
                                 enters the game",Opponent
361,10:00,"MCCULLEY,CALLIE
                                 enters the game",Opponent
362,09:50,"AUZA,MARIANE missed layup",Emory
363,09:49,"MCCULLEY,CALLIE defensive rebound",Opponent
364,09:49,"Foul by AUZA,MARIANE",Emory
365,09:36,"TITUS,KATIE made layup",Opponent
366,09:36,"Assist by MCCULLEY,CALLIE",Opponent
367,09:10,"LAUDICK,MORGAN missed layup",Emory
368,09:10,"Block by MCCULLEY,CALLIE",Opponent
369,09:05,"TITUS,KATIE defensive rebound",Opponent
370,08:54,"MCCULLEY,CALLIE made layup",Opponent
371,08:42,"MARTIN,ERIN made layup",Emory
372,08:23,"BRUNEAU,HAILEY missed 3-pt. jump shot",Opponent
373,08:20,"MARTIN,ERIN defensive rebound",Emory
374,07:57,"BROCK,CLAIRE missed 3-pt. jump shot",Emory
375,07:53,"LAUDICK,MORGAN offensive rebound",Emory
376,07:52,"AUZA,MARIANE missed jump shot",Emory
377,07:51,TEAM offensive rebound,Emory
378,07:51,"Foul by BRUNEAU,HAILEY",Opponent
379,07:51,"AUZA,MARIANE
                                 goes to the bench",Emory
380,07:51,"LAUDICK,MORGAN
                                 goes to the bench",Emory
381,07:51,"GROSS,PAIGE
                                 enters the game",Emory
382,07:51,"MUNSON,IZZY
                                 enters the game",Emory
383,07:51,"BRUNEAU,HAILEY
                                 goes to the bench",Opponent
384,07:51,"STITES,KELSEY
                                 enters the game",Opponent
385,07:40,"GROSS,PAIGE made jump shot",Emory
386,07:40,"Assist by BROCK,CLAIRE",Emory
387,07:17,"Foul by ARONSKY,DANIELLA",Emory
388,07:02,"LEVERONE,MAURA missed layup",Opponent
389,06:59,"ARONSKY,DANIELLA defensive rebound",Emory
390,06:54,"Foul by MCCULLEY,CALLIE",Opponent
391,06:51,"GROSS,PAIGE missed jump shot",Emory
392,06:51,"Block by TITUS,KATIE",Opponent
393,06:43,"MCCULLEY,CALLIE defensive rebound",Opponent
394,06:35,"Foul by GROSS,PAIGE",Emory
395,06:35,"TITUS,KATIE made free throw",Opponent
396,06:35,"TITUS,KATIE missed free throw",Opponent
397,06:35,"GROSS,PAIGE defensive rebound",Emory
398,06:24,"GROSS,PAIGE missed jump shot",Emory
399,06:24,"Block by MCCULLEY,CALLIE",Opponent
400,06:20,"TITUS,KATIE defensive rebound",Opponent
401,06:11,"SESTRIC,ALEXIS missed 3-pt. jump shot",Opponent
402,06:08,"MARTIN,ERIN defensive rebound",Emory
403,06:01,"GROSS,PAIGE made layup",Emory
404,06:01,"Assist by ARONSKY,DANIELLA",Emory
405,05:39,"Turnover by LEVERONE,MAURA",Opponent
406,05:39,"Steal by BROCK,CLAIRE",Emory
407,05:30,"GROSS,PAIGE missed jump shot",Emory
408,05:26,TEAM defensive rebound,Opponent
409,05:26,"MUNSON,IZZY
                                 goes to the bench",Emory
410,05:26,"AUZA,MARIANE
                                 enters the game",Emory
411,05:16,"MCCULLEY,CALLIE missed layup",Opponent
412,05:13,"GROSS,PAIGE defensive rebound",Emory
413,05:06,"Foul by STITES,KELSEY",Opponent
414,05:06,"STITES,KELSEY
                                 goes to the bench",Opponent
415,05:06,"GAYNIER,PAIGE
                                 enters the game",Opponent
416,05:02,"Turnover by AUZA,MARIANE",Emory
417,04:51,"SESTRIC,ALEXIS made 3-pt. jump shot",Opponent
418,04:51,"Assist by TITUS,KATIE",Opponent
419,04:33,"MARTIN,ERIN made layup",Emory
420,04:33,"Assist by GROSS,PAIGE",Emory
421,04:15,"TITUS,KATIE missed layup",Opponent
422,04:15,"Block by MARTIN,ERIN",Emory
423,04:15,TEAM offensive rebound,Opponent
424,04:15,"GROSS,PAIGE
                                 goes to the bench",Emory
425,04:15,"LAUDICK,MORGAN
                                 enters the game",Emory
426,04:15,"GAYNIER,PAIGE
                                 goes to the bench",Opponent
427,04:15,"STITES,KELSEY
                                 enters the game",Opponent
428,04:09,"STITES,KELSEY missed layup",Opponent
429,04:09,"Block by BROCK,CLAIRE",Emory
430,04:06,"LAUDICK,MORGAN defensive rebound",Emory
431,04:04,"AUZA,MARIANE missed layup",Emory
432,04:00,"MCCULLEY,CALLIE defensive rebound",Opponent
433,03:36,"SESTRIC,ALEXIS made 3-pt. jump shot",Opponent
434,03:36,"Assist by TITUS,KATIE",Opponent
435,03:23,"LAUDICK,MORGAN made 3-pt. jump shot",Emory
436,03:23,"Assist by BROCK,CLAIRE",Emory
437,02:58,"SESTRIC,ALEXIS made layup",Opponent
438,02:42,"AUZA,MARIANE made layup",Emory
439,02:29,"SESTRIC,ALEXIS missed 3-pt. jump shot",Opponent
440,02:29,"Block by MARTIN,ERIN",Emory
441,02:27,TEAM defensive rebound,Emory
442,02:27,"STITES,KELSEY
                                 goes to the bench",Opponent
443,02:27,"BRUNEAU,HAILEY
                                 enters the game",Opponent
444,02:14,"Turnover by MARTIN,ERIN",Emory
445,02:14,"Foul by MARTIN,ERIN",Emory
446,02:06,30SEC TIMEOUT by Rochester (N.Y.),Opponent
447,01:56,"TITUS,KATIE made layup",Opponent
448,01:56,"Assist by LEVERONE,MAURA",Opponent
449,01:41,"ARONSKY,DANIELLA made 3-pt. jump shot",Emory
450,01:41,"Assist by AUZA,MARIANE",Emory
451,01:28,"SESTRIC,ALEXIS made 3-pt. jump shot",Opponent
452,01:28,"Assist by MCCULLEY,CALLIE",Opponent
453,01:08,"ARONSKY,DANIELLA missed layup",Emory
454,01:05,"MCCULLEY,CALLIE defensive rebound",Opponent
455,00:42,"BRUNEAU,HAILEY missed layup",Opponent
456,00:39,"BROCK,CLAIRE defensive rebound",Emory
457,00:36,"ARONSKY,DANIELLA made 3-pt. jump shot",Emory
458,00:36,"Assist by BROCK,CLAIRE",Emory
459,00:35,TEAM TIMEOUT by Opponent,Emory
460,00:35,"BRUNEAU,HAILEY
                                 goes to the bench",Opponent
461,00:35,"STITES,KELSEY
                                 enters the game",Opponent
462,00:30,"Foul by BROCK,CLAIRE",Emory
463,00:30,"SESTRIC,ALEXIS missed free throw",Opponent
464,00:30,TEAM deadball rebound,Opponent
465,00:30,"SESTRIC,ALEXIS made free throw",Opponent
466,00:30,30SEC TIMEOUT by Opponent,Emory
467,00:24,"BROCK,CLAIRE missed 3-pt. jump shot",Emory
468,00:22,TEAM defensive rebound,Opponent
469,00:22,"Foul by MARTIN,ERIN",Emory
470,00:22,"TITUS,KATIE missed free throw",Opponent
471,00:22,TEAM deadball rebound,Opponent
