,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team
6,Agnes Scott,W,59,71.3,1.19,0.36,37-83,2-22,9-12,11-54,3-23,1-2,50,38,44.4,69.8,56.8,8.4,46.7,Emory
7,Tufts,W,15,69.9,1.0,0.75,24-58,7-24,15-20,20-63,3-18,12-18,41,44,26.3,66.0,48.199999999999996,22.900000000000002,28.799999999999997,Emory
8,Oglethorpe,W,18,71.7,0.88,0.63,27-67,7-17,2-6,14-53,1-18,16-25,48,35,33.300000000000004,82.89999999999999,57.8,26.5,23.9,Emory
9,Asbury,L,-9,72.5,0.91,1.08,28-71,4-18,6-8,31-64,3-18,10-15,37,40,25.6,76.5,48.1,16.6,14.299999999999999,Emory
10,"Rochester (N.Y.)

*",W,2,66.8,1.02,0.96,23-64,11-24,11-15,24-61,4-14,14-15,37,39,27.500000000000004,72.2,48.699999999999996,15.0,20.4,Emory
11,"Carnegie Mellon

*",W,20,69.4,1.12,0.85,31-65,8-22,8-12,20-68,6-29,12-20,49,39,27.800000000000004,75.0,55.7,17.299999999999997,10.299999999999999,Emory
12,"Case Western Reserve

*",W,24,71.0,1.04,0.71,28-68,7-30,11-18,15-54,3-16,17-27,42,47,27.3,66.7,47.199999999999996,14.099999999999998,31.4,Emory
13,Rhodes,L,-13,74.3,0.85,1.04,24-65,7-21,8-10,33-72,2-11,8-17,37,43,26.8,66.7,46.2,25.6,13.600000000000001,Emory
14,Total,,270,72.5,1.03,0.82,397-948,98-305,156-219,296-880,50-256,188-287,620,574,31.4,71.0,51.9,19.8,23.0,Emory
0,vs Dubuque,W,13,71.2,1.1,0.91,25-47,8-18,20-30,29-63,3-16,4-10,34,21,41.699999999999996,77.4,61.8,33.7,19.6,WashU
1,vs Ohio Wesleyan,W,23,62.7,1.28,0.95,32-53,8-17,8-12,22-60,1-12,12-17,30,28,26.1,68.60000000000001,51.7,20.7,10.0,WashU
2,vs Millikin,W,6,74.6,0.96,0.94,26-62,3-12,17-29,27-62,5-24,7-10,42,28,52.800000000000004,67.60000000000001,60.0,29.5,25.5,WashU
3,at Rose-Hulman,W,17,61.4,0.99,0.72,25-62,3-14,8-9,18-52,4-17,4-8,41,30,36.1,80.0,57.699999999999996,17.9,24.6,WashU
4,at Ill. Wesleyan,L,-15,66.7,0.78,1.0,22-53,2-19,6-8,26-66,6-24,9-15,40,30,37.5,73.7,57.099999999999994,37.5,10.5,WashU
5,at Westminster (MO),W,15,64.7,1.04,0.84,29-69,2-13,7-10,20-51,6-22,6-10,41,35,40.5,70.6,53.900000000000006,17.0,30.7,WashU
6,at Fontbonne,W,31,64.8,1.13,0.63,26-56,6-22,15-17,16-56,5-25,5-8,40,25,39.300000000000004,78.4,61.5,23.200000000000003,27.0,WashU
7,vs Wis.-Platteville,L,-4,69.7,0.95,0.99,24-61,3-15,15-24,24-60,7-30,15-22,30,45,23.1,58.3,40.0,14.399999999999999,26.900000000000002,WashU
8,vs Greenville,L,-9,74.0,0.95,1.08,25-60,5-20,15-23,25-61,6-19,23-26,36,31,28.599999999999998,81.2,53.7,23.0,13.600000000000001,WashU
9,at Wis.-Oshkosh,L,-36,66.2,0.63,1.22,15-47,4-12,8-18,28-58,14-31,8-10,29,30,28.1,74.1,49.2,34.8,17.299999999999997,WashU
