,Unnamed: 0,Team,Field Goal,Field Goal %,3 Point,3 Point %,Free Throw,Free Throw %,Rebounds,Assists,Turnovers,Points off Turnovers,2nd Chance Points,Points in the Paint,Fastbreak Points,Bench Points,Largest Lead,Time of Largest Lead,OREB,DREB,STL,BLK,PF,PTS,Opponent,Date,AST,REB,TOV,PTS OFF TOV,2ND CHANCE,PAINT,FASTBREAK,BENCH,FGM,FGA,3PM,3PA,FTM,FTA,FG%,3P%,FT%,Chicago
0,0,Lake Forest,25-64,39.1%,9-26,34.6%,8-15,53.3%,29,15,6,14,12,18,2,18,5,1st-18:50,10,19,3,1,18,67,Lake Forest,"November 10, 2022",15,29,6,14,12,18,2,18,25,64,9,26,8,15,39.0625,34.61538461538461,53.333333333333336,False
1,1,Chicago,31-54,57.4%,8-18,44.4%,8-14,57.1%,40,19,12,11,6,42,7,34,19,2nd-05:00,8,32,3,4,16,78,Lake Forest,"November 10, 2022",19,40,12,11,6,42,7,34,31,54,8,18,8,14,57.407407407407405,44.44444444444444,57.142857142857146,True
