,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team
16,vs Washington-St. Louis,L,-16,60.4,0.78,1.03,18-51,2-12,9-18,25-59,6-15,7-11,33,42,23.1,66.7,44.0,21.5,19.6,Rochester
17,vs Chicago,W (OT),1,73.0,0.99,0.95,25-59,2-16,20-25,23-63,6-20,19-23,40,39,16.2,81.0,50.6,16.400000000000002,17.299999999999997,Rochester
18,UAA Total,,1,67.6,1.06,1.03,183-382,32-110,102-144,178-430,45-145,100-121,244,238,23.6,74.3,50.6,21.8,18.6,Rochester
19,Total,,101,67.2,1.14,1.03,502-1011,106-317,264-378,462-1093,122-385,227-298,626,608,26.7,71.7,50.7,20.2,20.8,Rochester
0,Piedmont,W,18,76.7,1.11,0.88,31-68,14-36,9-27,21-65,6-25,19-26,47,48,29.799999999999997,68.8,49.5,18.3,23.599999999999998,Emory
1,Sewanee,W,25,80.2,1.26,0.97,42-77,11-23,6-8,28-74,11-34,9-15,49,35,40.0,71.39999999999999,58.3,21.2,19.1,Emory
2,Guilford,L,-14,64.8,0.94,1.13,19-55,10-31,13-17,27-67,9-23,12-18,38,46,30.0,59.099999999999994,45.2,26.200000000000003,18.099999999999998,Emory
3,Covenant,W,34,71.5,1.36,0.9,33-63,11-26,20-26,22-59,9-32,10-14,43,23,53.6,73.7,65.2,21.0,25.6,Emory
4,Maryville (Tenn.),W,9,72.3,1.09,0.96,31-51,3-13,14-19,26-60,5-27,13-16,36,22,25.0,88.2,62.1,30.4,17.8,Emory
5,Bates,W,34,81.9,1.05,0.65,33-88,10-23,10-12,16-65,7-34,13-19,54,37,40.400000000000006,79.5,59.3,13.4,23.7,Emory
6,Colby,W,14,63.8,1.25,1.0,29-58,8-20,14-17,24-65,12-37,6-9,39,30,41.4,67.5,56.49999999999999,20.4,19.6,Emory
