,Time,Action,Team
109,08:01,"BROCK,CLAIRE offensive rebound",Emory
110,07:57,"BROCK,CLAIRE missed jump shot",Emory
111,07:54,"PELLECCHIA,BELLE defensive rebound",Opponent
112,07:50,"PELLECCHIA,BELLE missed layup",Opponent
113,07:49,TEAM offensive rebound,Opponent
114,07:47,"Foul by MARTIN,ERIN",Emory
115,07:41,"WALKER,JENNY missed jump shot",Opponent
116,07:35,"MARTIN,ERIN defensive rebound",Emory
117,07:20,"Foul by MILLER,ERICA",Opponent
118,07:20,"BROCK,CLAIRE made free throw",Emory
119,07:20,"BROCK,CLAIRE made free throw",Emory
120,06:57,"MILLER,ERICA missed 3-pt. jump shot",Opponent
121,06:53,"MARTIN,ERIN defensive rebound",Emory
122,06:47,"MARTIN,ERIN missed 3-pt. jump shot",Emory
123,06:43,TEAM defensive rebound,Opponent
124,06:43,"FAHEY,MARY KATE
                                 goes to the bench",Opponent
125,06:43,"SHELTON,BROOKLYN
                                 enters the game",Opponent
126,06:43,"BROCK,CLAIRE
                                 goes to the bench",Emory
127,06:43,"MARTIN,ERIN
                                 goes to the bench",Emory
128,06:43,"GROSS,PAIGE
                                 enters the game",Emory
129,06:43,"MUNSON,IZZY
                                 enters the game",Emory
130,06:27,"Foul by LAUDICK,MORGAN",Emory
131,06:27,"BRUNS,NATALIE missed free throw",Opponent
132,06:27,TEAM deadball rebound,Opponent
133,06:27,"BRUNS,NATALIE missed free throw",Opponent
134,06:26,"SHELTON,BROOKLYN offensive rebound",Opponent
135,06:25,"SHELTON,BROOKLYN missed layup",Opponent
136,06:23,"KENNEDY,LILY defensive rebound",Emory
137,06:00,"KENNEDY,LILY missed jump shot",Emory
138,05:57,"BRUNS,NATALIE defensive rebound",Opponent
139,05:49,"WALKER,JENNY made jump shot",Opponent
140,05:49,"Assist by SHELTON,BROOKLYN",Opponent
141,05:39,"GROSS,PAIGE made 3-pt. jump shot",Emory
142,05:39,"Assist by ARONSKY,DANIELLA",Emory
143,05:27,"MILLER,ERICA missed 3-pt. jump shot",Opponent
144,05:23,"WALKER,JENNY offensive rebound",Opponent
145,05:22,"WALKER,JENNY made layup",Opponent
146,04:57,"MUNSON,IZZY missed layup",Emory
147,04:57,"Block by BRUNS,NATALIE",Opponent
148,04:54,"BRUNS,NATALIE defensive rebound",Opponent
149,04:49,"Turnover by BRUNS,NATALIE",Opponent
150,04:49,"BRUNS,NATALIE
                                 goes to the bench",Opponent
151,04:49,"THRAINSDOTTIR,HANNA
                                 enters the game",Opponent
152,04:49,"KENNEDY,LILY
                                 goes to the bench",Emory
153,04:49,"LAUDICK,MORGAN
                                 goes to the bench",Emory
154,04:49,"BROCK,CLAIRE
                                 enters the game",Emory
155,04:49,"MARTIN,ERIN
                                 enters the game",Emory
156,04:34,"ARONSKY,DANIELLA made 3-pt. jump shot",Emory
157,04:34,"Assist by MARTIN,ERIN",Emory
158,04:21,"PELLECCHIA,BELLE missed layup",Opponent
159,04:20,"GROSS,PAIGE defensive rebound",Emory
160,04:20,"Foul by SHELTON,BROOKLYN",Opponent
161,04:20,"MILLER,ERICA
                                 goes to the bench",Opponent
162,04:20,"WALKER,JENNY
                                 goes to the bench",Opponent
163,04:20,"PEPER,CAROLINE
                                 enters the game",Opponent
164,04:20,"BRUNS,NATALIE
                                 enters the game",Opponent
165,04:06,"Turnover by MARTIN,ERIN",Emory
166,03:54,"PELLECCHIA,BELLE made layup",Opponent
167,03:54,"Assist by BRUNS,NATALIE",Opponent
168,03:39,"Foul by PEPER,CAROLINE",Opponent
169,03:33,"MUNSON,IZZY missed jump shot",Emory
170,03:30,"BRUNS,NATALIE defensive rebound",Opponent
171,03:21,"THRAINSDOTTIR,HANNA made jump shot",Opponent
172,03:09,"ARONSKY,DANIELLA missed 3-pt. jump shot",Emory
173,03:06,"PEPER,CAROLINE defensive rebound",Opponent
174,03:00,"PELLECCHIA,BELLE missed layup",Opponent
175,02:59,"PELLECCHIA,BELLE offensive rebound",Opponent
176,02:59,"Foul by ARONSKY,DANIELLA",Emory
177,02:59,"ARONSKY,DANIELLA
                                 goes to the bench",Emory
178,02:59,"LAUDICK,MORGAN
                                 enters the game",Emory
179,02:59,"THRAINSDOTTIR,HANNA
                                 goes to the bench",Opponent
180,02:59,"WALKER,JENNY
                                 enters the game",Opponent
181,02:59,"PELLECCHIA,BELLE missed free throw",Opponent
182,02:59,TEAM deadball rebound,Opponent
183,02:59,"PELLECCHIA,BELLE made free throw",Opponent
184,02:59,"GROSS,PAIGE
                                 goes to the bench",Emory
185,02:59,"ARONSKY,DANIELLA
                                 enters the game",Emory
186,02:49,"MUNSON,IZZY missed 3-pt. jump shot",Emory
187,02:46,"BRUNS,NATALIE defensive rebound",Opponent
188,02:39,"Foul by BROCK,CLAIRE",Emory
189,02:39,"PEPER,CAROLINE missed free throw",Opponent
190,02:39,TEAM deadball rebound,Opponent
191,02:39,"PEPER,CAROLINE made free throw",Opponent
192,02:31,"Turnover by MUNSON,IZZY",Emory
193,02:19,"WALKER,JENNY made layup",Opponent
194,02:19,"Assist by SHELTON,BROOKLYN",Opponent
195,02:05,"ARONSKY,DANIELLA missed 3-pt. jump shot",Emory
196,01:59,"WALKER,JENNY defensive rebound",Opponent
197,01:46,"WALKER,JENNY made layup",Opponent
198,01:20,"MARTIN,ERIN missed layup",Emory
199,01:18,"WALKER,JENNY defensive rebound",Opponent
200,01:08,"WALKER,JENNY missed jump shot",Opponent
201,01:05,"ARONSKY,DANIELLA defensive rebound",Emory
202,01:05,"Foul by BRUNS,NATALIE",Opponent
203,01:05,"MUNSON,IZZY
                                 goes to the bench",Emory
204,01:05,"KENNEDY,LILY
                                 enters the game",Emory
205,00:31,"ARONSKY,DANIELLA made 3-pt. jump shot",Emory
206,00:07,"Foul by MARTIN,ERIN",Emory
207,00:07,"SHELTON,BROOKLYN missed free throw",Opponent
208,00:07,TEAM deadball rebound,Opponent
209,00:07,"SHELTON,BROOKLYN made free throw",Opponent
210,00:07,"SHELTON,BROOKLYN
                                 goes to the bench",Opponent
211,00:07,"THRAINSDOTTIR,HANNA
                                 enters the game",Opponent
212,00:07,"MARTIN,ERIN
                                 goes to the bench",Emory
213,00:07,"GROSS,PAIGE
                                 enters the game",Emory
214,00:01,"Turnover by ARONSKY,DANIELLA",Emory
215,00:01,"Steal by WALKER,JENNY",Opponent
216,10:00,"PEPER,CAROLINE
                                 goes to the bench",Opponent
217,10:00,"THRAINSDOTTIR,HANNA
                                 goes to the bench",Opponent
218,10:00,"SHELTON,BROOKLYN
                                 enters the game",Opponent
219,10:00,"MILLER,ERICA
                                 enters the game",Opponent
220,10:00,"KENNEDY,LILY
                                 goes to the bench",Emory
221,10:00,"GROSS,PAIGE
                                 goes to the bench",Emory
222,10:00,"AUZA,MARIANE
                                 enters the game",Emory
223,10:00,"MARTIN,ERIN
                                 enters the game",Emory
224,09:47,"Foul by BRUNS,NATALIE",Opponent
225,09:47,"AUZA,MARIANE made free throw",Emory
226,09:47,"AUZA,MARIANE made free throw",Emory
227,09:28,"WALKER,JENNY missed jump shot",Opponent
228,09:26,"LAUDICK,MORGAN defensive rebound",Emory
229,09:16,"Turnover by AUZA,MARIANE",Emory
230,08:55,"WALKER,JENNY made jump shot",Opponent
231,08:55,"Assist by BRUNS,NATALIE",Opponent
232,08:44,"BROCK,CLAIRE missed jump shot",Emory
233,08:40,"LAUDICK,MORGAN offensive rebound",Emory
234,08:39,"LAUDICK,MORGAN made layup",Emory
235,08:24,"Foul by LAUDICK,MORGAN",Emory
236,08:24,"WALKER,JENNY missed free throw",Opponent
237,08:24,TEAM deadball rebound,Opponent
238,08:24,"WALKER,JENNY made free throw",Opponent
239,08:13,"Turnover by AUZA,MARIANE",Emory
240,07:59,"WALKER,JENNY made jump shot",Opponent
241,07:50,"LAUDICK,MORGAN missed jump shot",Emory
242,07:47,"MILLER,ERICA defensive rebound",Opponent
243,07:38,"PELLECCHIA,BELLE missed 3-pt. jump shot",Opponent
244,07:34,"BROCK,CLAIRE defensive rebound",Emory
245,07:19,"MARTIN,ERIN made 3-pt. jump shot",Emory
246,07:19,"Assist by AUZA,MARIANE",Emory
247,07:03,"Foul by MARTIN,ERIN",Emory
248,07:03,"MARTIN,ERIN
                                 goes to the bench",Emory
249,07:03,"GROSS,PAIGE
                                 enters the game",Emory
250,06:52,"Foul by AUZA,MARIANE",Emory
251,06:44,"Foul by ARONSKY,DANIELLA",Emory
252,06:44,"AUZA,MARIANE
                                 goes to the bench",Emory
253,06:44,"WALKER,JENNY missed free throw",Opponent
254,06:44,TEAM deadball rebound,Opponent
255,06:44,"WALKER,JENNY made free throw",Opponent
256,06:44,"MUNSON,IZZY
                                 enters the game",Emory
257,06:36,"Turnover by ARONSKY,DANIELLA",Emory
258,06:23,"SHELTON,BROOKLYN made layup",Opponent
259,06:23,"Assist by BRUNS,NATALIE",Opponent
260,06:09,"MUNSON,IZZY made layup",Emory
261,05:53,"WALKER,JENNY missed layup",Opponent
262,05:52,TEAM defensive rebound,Emory
263,05:52,"SHELTON,BROOKLYN
                                 goes to the bench",Opponent
264,05:52,"WALKER,JENNY
                                 goes to the bench",Opponent
265,05:52,"PEPER,CAROLINE
                                 enters the game",Opponent
266,05:52,"THRAINSDOTTIR,HANNA
                                 enters the game",Opponent
267,05:52,"LAUDICK,MORGAN
                                 goes to the bench",Emory
268,05:52,"MARTINI,KATHERINE
                                 enters the game",Emory
269,05:42,"GROSS,PAIGE made layup",Emory
270,05:32,"Foul by PELLECCHIA,BELLE",Opponent
271,05:32,"Turnover by PELLECCHIA,BELLE",Opponent
272,05:27,"Foul by MILLER,ERICA",Opponent
273,05:27,"BRUNS,NATALIE
                                 goes to the bench",Opponent
274,05:27,"WALKER,JENNY
                                 enters the game",Opponent
275,05:27,"ARONSKY,DANIELLA made free throw",Emory
276,05:27,"ARONSKY,DANIELLA made free throw",Emory
277,05:17,"WALKER,JENNY missed jump shot",Opponent
278,05:15,TEAM offensive rebound,Opponent
279,05:15,"MUNSON,IZZY
                                 goes to the bench",Emory
280,05:15,"KENNEDY,LILY
                                 enters the game",Emory
281,05:01,"MILLER,ERICA missed layup",Opponent
282,04:59,"MARTINI,KATHERINE defensive rebound",Emory
283,04:54,"KENNEDY,LILY missed jump shot",Emory
284,04:49,"MARTINI,KATHERINE offensive rebound",Emory
285,04:49,"THRAINSDOTTIR,HANNA
                                 goes to the bench",Opponent
286,04:49,"MILLER,ERICA
                                 goes to the bench",Opponent
287,04:49,"BRUNS,NATALIE
                                 enters the game",Opponent
288,04:49,"FAHEY,MARY KATE
                                 enters the game",Opponent
289,04:41,"MARTINI,KATHERINE missed layup",Emory
290,04:40,TEAM offensive rebound,Emory
291,04:38,"GROSS,PAIGE missed layup",Emory
292,04:38,"Block by BRUNS,NATALIE",Opponent
