,Lineup,GP,MP,PTS,OPP PTS,+/-,AST,OREB,OPP OREB,DREB,FG%,FGA,OPP FG%,OPP FGA,3P%,3PA,OPP 3P%,3PA,FTA,FT%,TO,OPP TO,STL,BLK,PF,OPP PF
28,"Ashley Gao, Bella Alfaro, Grace Hynes, Klaire Steffens, Peyton Van Soest",2,7.38,12,12,0,2,3,0,4,0.5,14,0.55,11,0.33,3,0.33,3,5,0.6,4,2,1,0,4,7
29,"Bella Alfaro, Kati Heller, Mallory Brodnik, Peyton Van Soest, Sophia North",1,7.15,9,9,0,3,2,0,3,0.36,11,0.67,9,0.25,4,0.0,0,0,0.0,5,6,3,0,3,0
30,"Ashley Gao, Bella Alfaro, Mallory Brodnik, Marissa Powe, Peyton Van Soest",2,6.88,11,2,9,3,1,4,3,0.55,11,0.12,8,1.0,2,0.0,2,4,0.75,3,7,5,1,1,3
31,"Ashley Gao, Ellie Gross, Grace Hynes, Mallory Brodnik, Marissa Powe",5,6.6,12,10,2,3,1,1,7,0.5,10,0.43,14,0.67,3,0.0,2,0,0.0,5,4,4,0,2,1
32,"Ellie Gross, Kati Heller, Mallory Brodnik, Marissa Powe, Peyton Van Soest",5,6.13,14,10,4,3,2,4,2,0.44,18,0.45,11,0.5,2,1.0,2,5,0.6,1,7,5,2,2,3
33,"Alina Brennan, Ashley Gao, Ellie Gross, Marissa Powe, Peyton Van Soest",1,5.82,22,7,15,6,1,0,6,0.75,12,0.45,11,0.8,5,0.0,2,0,0.0,1,2,1,0,2,0
34,"Ellie Gross, Kati Heller, Klaire Steffens, Marissa Powe, Peyton Van Soest",5,5.8,8,14,-6,2,3,2,1,0.33,12,0.67,9,0.33,3,0.75,4,2,0.5,3,4,1,1,2,1
35,"Ashley Gao, Elizabeth Shaw, Grace Hynes, Klaire Steffens, Sophia North",2,5.58,9,9,0,2,1,2,2,0.62,8,0.56,9,0.0,1,0.0,1,1,1.0,3,4,2,1,3,2
36,"Ashley Gao, Ellie Gross, Klaire Steffens, Marissa Powe, Sophia North",4,5.57,8,8,0,3,0,1,1,0.5,8,0.71,7,0.0,1,0.0,0,0,0.0,2,7,5,0,2,0
37,"Ashley Gao, Ellie Gross, Mallory Brodnik, Marissa Powe, Peyton Van Soest",4,5.35,8,15,-7,1,1,0,1,0.6,10,0.9,10,0.0,2,1.0,1,4,1.0,2,3,2,0,3,2
38,"Elizabeth Shaw, Grace Hynes, Klaire Steffens, Marissa Powe, Sophia North",1,5.32,11,10,1,2,0,3,3,0.55,11,0.53,15,1.0,1,0.0,1,5,0.4,1,2,1,2,4,3
39,"Ashley Gao, Bella Alfaro, Grace Hynes, Kati Heller, Peyton Van Soest",1,5.2,8,8,0,1,0,0,2,0.55,11,0.57,7,0.0,2,1.0,1,4,1.0,2,4,3,0,1,3
40,"Elizabeth Shaw, Grace Hynes, Kati Heller, Mallory Brodnik, Peyton Van Soest",2,5.02,6,10,-4,0,2,0,4,0.55,11,0.5,8,0.0,3,1.0,2,6,1.0,3,1,0,0,1,4
41,"Elizabeth Shaw, Grace Hynes, Kati Heller, Klaire Steffens, Marissa Powe",2,4.83,4,11,-7,1,2,2,4,0.29,7,0.5,12,0.33,3,0.5,2,2,0.5,4,0,0,1,3,1
42,"Alina Brennan, Ashley Gao, Ellie Gross, Grace Hynes, Marissa Powe",1,4.78,8,5,3,2,2,0,3,0.4,10,0.4,5,0.0,2,0.5,2,0,0.0,2,6,4,0,2,0
43,"Grace Hynes, Kati Heller, Mallory Brodnik, Peyton Van Soest, Sophia North",1,4.77,10,3,7,4,0,1,4,0.67,9,0.29,7,0.0,0,0.0,2,4,0.5,1,2,2,0,1,4
44,"Ellie Gross, Grace Hynes, Kati Heller, Mallory Brodnik, Peyton Van Soest",2,4.73,5,4,1,2,3,2,3,0.22,9,0.25,8,0.33,3,0.0,2,0,0.0,1,3,1,0,3,0
45,"Bella Alfaro, Klaire Steffens, Mallory Brodnik, Marissa Powe, Sophia North",5,4.48,1,5,-4,0,1,0,4,0.1,10,0.44,9,0.0,4,0.0,2,2,0.5,0,2,1,0,2,4
46,"Ashley Gao, Ellie Gross, Kati Heller, Mallory Brodnik, Peyton Van Soest",1,4.45,11,16,-5,2,1,1,0,0.55,11,0.83,12,0.5,2,0.0,0,3,0.67,0,2,0,0,3,2
47,"Elizabeth Shaw, Grace Hynes, Kati Heller, Klaire Steffens, Peyton Van Soest",4,4.32,3,8,-5,1,1,2,1,0.29,7,0.5,8,0.0,3,1.0,1,1,1.0,1,1,1,0,2,1
48,"Ashley Gao, Elizabeth Shaw, Mallory Brodnik, Peyton Van Soest, Sophia North",2,4.18,8,4,4,3,0,0,5,0.57,7,0.29,7,0.0,1,0.0,1,0,0.0,0,1,1,0,0,0
49,"Bella Alfaro, Grace Hynes, Kati Heller, Mallory Brodnik, Peyton Van Soest",2,4.17,5,5,0,1,0,0,6,0.33,6,0.25,8,0.33,3,0.33,3,0,0.0,1,1,0,0,0,0
50,"Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik, Sophia North",3,4.05,8,3,5,3,0,1,3,0.38,8,0.2,5,0.67,3,0.33,3,0,0.0,0,2,0,0,0,2
51,"Ashley Gao, Ellie Gross, Klaire Steffens, Peyton Van Soest, Sophia North",1,4.0,5,4,1,2,1,0,2,0.33,6,0.5,4,0.5,2,0.0,1,0,0.0,1,3,1,0,1,1
52,"Grace Hynes, Kati Heller, Klaire Steffens, Marissa Powe, Peyton Van Soest",2,3.88,11,10,1,2,0,0,4,0.7,10,0.67,9,0.0,0,0.0,1,3,1.0,2,2,2,0,2,2
53,"Grace Hynes, Klaire Steffens, Mallory Brodnik, Marissa Powe, Sophia North",1,3.7,8,6,2,2,1,0,2,0.43,7,0.67,6,0.4,5,0.0,1,0,0.0,2,2,1,1,1,0
54,"Ashley Gao, Ellie Gross, Kati Heller, Marissa Powe, Sophia North",2,3.7,7,4,3,1,1,1,2,0.6,5,0.4,5,1.0,1,0.0,1,0,0.0,1,2,1,1,2,1
55,"Ashley Gao, Elizabeth Shaw, Klaire Steffens, Marissa Powe, Peyton Van Soest",1,3.62,4,6,-2,1,1,0,2,0.38,8,0.44,9,0.0,1,0.0,0,4,0.5,2,1,1,1,4,3
56,"Grace Hynes, Kati Heller, Klaire Steffens, Peyton Van Soest, Sophia North",2,3.57,9,5,4,3,0,0,4,0.55,11,0.43,7,0.0,1,0.0,0,5,0.6,2,3,1,1,1,3
57,"Ashley Gao, Grace Hynes, Klaire Steffens, Peyton Van Soest, Sophia North",1,3.35,9,2,7,3,0,0,4,0.6,5,0.33,6,1.0,3,0.0,0,0,0.0,1,1,0,0,1,0
58,"Alina Brennan, Ashley Gao, Bella Alfaro, Blair Penn, Ellie Vermilion",1,3.23,2,5,-3,1,0,1,2,0.33,3,0.43,7,0.0,1,0.0,0,0,0.0,3,2,2,0,1,0
59,"Ashley Gao, Bella Alfaro, Klaire Steffens, Marissa Powe, Peyton Van Soest",3,3.13,3,7,-4,0,0,0,2,0.4,5,0.67,6,0.0,1,0.0,1,1,1.0,1,1,0,0,4,2
60,"Ashley Gao, Ellie Gross, Kati Heller, Peyton Van Soest, Sophia North",1,3.12,5,7,-2,1,2,3,0,0.33,6,0.57,7,0.2,5,0.0,0,0,0.0,1,1,0,0,1,1
