,Lineup,GP,MP,POSS,OPP POSS,PPP,OPP PPP,PTS DIFF PER80,REB,OPP REB,ORB%,DRB%,RB%,TO%
45,"Bella Alfaro, Klaire Steffens, Mallory Brodnik, Marissa Powe, Sophia North",5,4.48,9.4848,12.2496,0.10543184885290148,0.40817659352142116,-24.219579573481575,5,7,0.125,1.0,0.4166666666666667,0.0
46,"Ashley Gao, Ellie Gross, Kati Heller, Mallory Brodnik, Peyton Van Soest",1,4.45,10.8672,14.591999999999999,1.0122202591283862,1.0964912280701755,-6.741677515343145,1,4,0.25,0.0,0.2,0.0
47,"Elizabeth Shaw, Grace Hynes, Kati Heller, Klaire Steffens, Peyton Van Soest",4,4.32,7.142399999999999,7.564800000000001,0.4200268817204301,1.057529610829103,-51.00021832869383,2,6,0.2,0.3333333333333333,0.25,0.11848341232227487
48,"Ashley Gao, Elizabeth Shaw, Mallory Brodnik, Peyton Van Soest, Sophia North",2,4.18,6.72,7.68,1.1904761904761905,0.5208333333333334,53.57142857142857,5,3,0.0,1.0,0.625,0.0
49,"Bella Alfaro, Grace Hynes, Kati Heller, Mallory Brodnik, Peyton Van Soest",2,4.17,6.72,8.64,0.7440476190476191,0.5787037037037037,13.227513227513228,6,4,0.0,1.0,0.6,0.14285714285714285
50,"Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik, Sophia North",3,4.05,7.68,5.76,1.0416666666666667,0.5208333333333334,41.66666666666667,3,6,0.0,0.75,0.3333333333333333,0.0
51,"Ashley Gao, Ellie Gross, Klaire Steffens, Peyton Van Soest, Sophia North",1,4.0,5.76,6.72,0.8680555555555556,0.5952380952380952,21.82539682539683,3,3,0.25,1.0,0.5,0.14285714285714285
52,"Grace Hynes, Kati Heller, Klaire Steffens, Marissa Powe, Peyton Van Soest",2,3.88,12.7872,11.4048,0.8602352352352353,0.8768237934904601,-1.3270846604179898,4,3,0.0,1.0,0.5714285714285714,0.15015015015015015
53,"Grace Hynes, Klaire Steffens, Mallory Brodnik, Marissa Powe, Sophia North",1,3.7,7.68,8.5248,1.0416666666666667,0.7038288288288288,27.027027027027035,3,2,0.3333333333333333,1.0,0.6,0.2222222222222222
54,"Ashley Gao, Ellie Gross, Kati Heller, Marissa Powe, Sophia North",2,3.7,4.8,5.76,1.4583333333333335,0.6944444444444444,61.11111111111113,3,2,0.5,0.6666666666666666,0.6,0.16666666666666666
55,"Ashley Gao, Elizabeth Shaw, Klaire Steffens, Marissa Powe, Peyton Van Soest",1,3.62,10.3296,12.1344,0.38723667905824044,0.4944620253164557,-8.578027700657223,3,3,0.25,1.0,0.5,0.17006802721088435
56,"Grace Hynes, Kati Heller, Klaire Steffens, Peyton Van Soest, Sophia North",2,3.57,14.591999999999999,10.4448,0.6167763157894738,0.47870710784313725,11.045536635706924,4,3,0.0,1.0,0.5714285714285714,0.13157894736842105
57,"Ashley Gao, Grace Hynes, Klaire Steffens, Peyton Van Soest, Sophia North",1,3.35,5.76,7.5648,1.5625,0.2643824027072758,103.84940778341793,4,2,0.0,1.0,0.6666666666666666,0.16666666666666666
58,"Alina Brennan, Ashley Gao, Bella Alfaro, Blair Penn, Ellie Vermilion",1,3.23,5.76,8.5248,0.3472222222222222,0.5865240240240239,-19.144144144144136,2,3,0.0,0.6666666666666666,0.4,0.5
59,"Ashley Gao, Bella Alfaro, Klaire Steffens, Marissa Powe, Peyton Van Soest",3,3.13,6.1824,7.5648,0.4852484472049689,0.9253384094754653,-35.20719698163971,2,3,0.0,1.0,0.4,0.15527950310559005
60,"Ashley Gao, Ellie Gross, Kati Heller, Peyton Van Soest, Sophia North",1,3.12,4.8,5.2223999999999995,1.0416666666666667,1.3403799019607845,-23.89705882352942,2,5,0.5,0.0,0.2857142857142857,0.14285714285714285
61,"Ashley Gao, Ellie Gross, Grace Hynes, Mallory Brodnik, Peyton Van Soest",2,2.92,4.8,1.92,0.8333333333333334,0.0,66.66666666666667,2,1,0.5,1.0,0.6666666666666666,0.3333333333333333
62,"Ashley Gao, Elizabeth Shaw, Grace Hynes, Mallory Brodnik, Peyton Van Soest",2,2.9,6.1824,7.9872,0.8087474120082815,0.7512019230769231,4.603639114508669,2,1,0.0,1.0,0.6666666666666666,0.3105590062111801
63,"Ellie Gross, Klaire Steffens, Mallory Brodnik, Marissa Powe, Sophia North",2,2.87,6.6048,4.8,0.9084302325581395,0.625,22.67441860465116,3,2,0.0,0.75,0.6,0.14534883720930233
64,"Ashley Gao, Grace Hynes, Kati Heller, Peyton Van Soest, Sophia North",1,2.8,3.84,3.84,0.5208333333333334,1.0416666666666667,-41.66666666666667,2,2,0.0,0.6666666666666666,0.5,0.5
65,"Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Sophia North",1,2.78,6.6048,4.8,1.0598352713178294,0.4166666666666667,51.45348837209301,5,0,1.0,1.0,1.0,0.0
66,"Elizabeth Shaw, Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik",1,2.75,3.84,4.8,0.0,1.4583333333333335,-116.66666666666669,1,4,0.0,0.5,0.2,0.25
67,"Bella Alfaro, Blair Penn, Ellie Vermilion, Isabelle Herrera, Kati Heller",1,2.7,6.6048,4.8,1.2112403100775193,0.625,46.899224806201545,1,0,1.0,,1.0,0.25380710659898476
68,"Grace Hynes, Kati Heller, Mallory Brodnik, Marissa Powe, Peyton Van Soest",1,2.68,3.84,6.6048,0.5208333333333334,0.9084302325581395,-31.007751937984487,4,2,0.6,1.0,0.6666666666666666,0.14285714285714285
69,"Ashley Gao, Elizabeth Shaw, Grace Hynes, Kati Heller, Marissa Powe",2,2.62,4.8,6.6048,0.4166666666666667,0.9084302325581395,-39.34108527131782,2,3,0.25,1.0,0.4,0.0
70,"Bella Alfaro, Klaire Steffens, Mallory Brodnik, Marissa Powe, Peyton Van Soest",2,2.57,5.2224,2.88,0.5744485294117647,0.0,45.955882352941174,1,3,0.0,1.0,0.25,0.0
71,"Bella Alfaro, Ellie Vermilion, Isabelle Herrera, Kati Heller, Mallory Brodnik",1,2.45,3.84,5.6448,0.78125,0.8857709750566893,-8.361678004535147,1,3,0.0,0.5,0.25,0.25
72,"Bella Alfaro, Grace Hynes, Kati Heller, Mallory Brodnik, Marissa Powe",2,2.45,5.76,3.84,0.6944444444444444,1.0416666666666667,-27.777777777777786,2,2,0.0,0.6666666666666666,0.5,0.5
73,"Ashley Gao, Bella Alfaro, Grace Hynes, Klaire Steffens, Sophia North",1,2.43,3.84,4.8,0.5208333333333334,1.6666666666666667,-91.66666666666669,3,3,0.4,1.0,0.5,0.0
74,"Bella Alfaro, Kati Heller, Klaire Steffens, Marissa Powe, Peyton Van Soest",4,2.4,6.6048,4.8,0.45421511627906974,0.8333333333333334,-30.32945736434109,1,0,,1.0,1.0,0.436046511627907
75,"Alina Brennan, Ashley Gao, Bella Alfaro, Ellie Vermilion, Sophia North",1,2.37,3.84,5.6448,1.0416666666666667,0.5314625850340136,40.81632653061226,2,0,,1.0,1.0,0.5
76,"Ashley Gao, Ellie Gross, Grace Hynes, Mallory Brodnik, Sophia North",1,2.35,3.84,3.84,0.0,1.3020833333333335,-104.16666666666669,3,4,0.25,0.6666666666666666,0.42857142857142855,0.2
77,"Ashley Gao, Ellie Gross, Grace Hynes, Kati Heller, Sophia North",1,2.23,3.84,4.6848,1.3020833333333335,0.6403688524590164,52.937158469945366,3,3,0.6666666666666666,0.3333333333333333,0.5,0.16666666666666666
78,"Ellie Gross, Isabelle Herrera, Klaire Steffens, Mallory Brodnik, Ryan Shepherd",1,2.13,4.8,3.84,0.8333333333333334,0.5208333333333334,25.0,4,1,0.6666666666666666,1.0,0.8,0.2857142857142857
79,"Bella Alfaro, Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Sophia North",2,2.0,5.6448,2.88,0.3543083900226757,0.0,28.34467120181406,4,2,0.3333333333333333,1.0,0.6666666666666666,0.14534883720930233
80,"Blair Penn, Ellie Gross, Isabelle Herrera, Klaire Steffens, Marissa Powe",1,1.92,3.84,9.2544,0.5208333333333334,0.43222683264177036,7.0885200553250405,3,3,0.5,0.5,0.5,0.16666666666666666
