,Team,POSS,PPP,PTS DIFF PER80,REB%,ORB%,DRB%,TO%
0,UChicago,92.45,0.92,9.08,55.5,38.2,72.3,13.4
0,Opponent,93.48,0.81,-9.08,0.45,0.28,0.62,0.13
2,Team,POSS,PPP,PTS DIFF PER80,REB%,ORB%,DRB%,TO%
