,Time,Action,Team
106,01:01,"PIERRE,TATHIANA missed 3-pt. jump shot",Opponent
107,01:01,TEAM offensive rebound,Opponent
108,00:55,"REAVIS,EMMA missed 3-pt. jump shot",Opponent
109,00:55,"MARTIN,ERIN defensive rebound",Emory
110,00:55,"LAUDICK,MORGAN
                                 enters the game",Emory
111,00:55,"MARTINI,KATHERINE
                                 goes to the bench",Emory
112,00:54,"Turnover by MARTIN,ERIN",Emory
113,00:51,"MARCHESE,FRANCESCA
                                 enters the game",Opponent
114,00:51,"OHM,LULU
                                 enters the game",Opponent
115,00:51,"REAVIS,EMMA
                                 goes to the bench",Opponent
116,00:51,"GONZALEZ,SELENYA
                                 goes to the bench",Opponent
117,00:18,"MARCHESE,FRANCESCA made 3-pt. jump shot",Opponent
118,00:18,"Assist by PIERRE,TATHIANA",Opponent
119,00:07,"LAUDICK,MORGAN made 3-pt. jump shot",Emory
120,00:07,"Assist by ARONSKY,DANIELLA",Emory
121,00:00,"OHM,LULU missed 3-pt. jump shot",Opponent
122,00:00,TEAM deadball rebound,Emory
123,10:00,"MUNSON,IZZY
                                 enters the game",Emory
124,10:00,"AUZA,MARIANE
                                 goes to the bench",Emory
125,10:00,"MIRES,LILY
                                 enters the game",Opponent
126,10:00,"OHM,LULU
                                 enters the game",Opponent
127,10:00,"REAVIS,EMMA
                                 goes to the bench",Opponent
128,10:00,"GRESKO,CAITLIN
                                 goes to the bench",Opponent
129,09:45,"MIRES,LILY missed jump shot",Opponent
130,09:45,"PIERRE,TATHIANA offensive rebound",Opponent
131,09:35,"PIERRE,TATHIANA made layup",Opponent
132,09:25,"Turnover by MARTIN,ERIN",Emory
133,09:24,"Steal by SMALLY,SHANNON",Opponent
134,09:20,"PIERRE,TATHIANA missed layup",Opponent
135,09:20,"MARTIN,ERIN defensive rebound",Emory
136,09:16,"Foul by PIERRE,TATHIANA",Opponent
137,09:03,"Turnover by MARTIN,ERIN",Emory
138,08:38,"MARCHESE,FRANCESCA missed 3-pt. jump shot",Opponent
139,08:38,"MIRES,LILY offensive rebound",Opponent
140,08:16,"MARCHESE,FRANCESCA made 3-pt. jump shot",Opponent
141,08:05,"Turnover by MARTIN,ERIN",Emory
142,08:05,"AUZA,MARIANE
                                 enters the game",Emory
143,08:05,"MUNSON,IZZY
                                 goes to the bench",Emory
144,08:05,"REAVIS,EMMA
                                 enters the game",Opponent
145,08:05,"GRESKO,CAITLIN
                                 enters the game",Opponent
146,08:05,"MIRES,LILY
                                 goes to the bench",Opponent
147,08:05,"OHM,LULU
                                 goes to the bench",Opponent
148,07:43,"Turnover by GRESKO,CAITLIN",Opponent
149,07:42,"Steal by BROCK,CLAIRE",Emory
150,07:32,"Foul by SMALLY,SHANNON",Opponent
151,07:14,"BROCK,CLAIRE made jump shot",Emory
152,06:52,"MARCHESE,FRANCESCA missed 3-pt. jump shot",Opponent
153,06:52,"BROCK,CLAIRE defensive rebound",Emory
154,06:37,"ARONSKY,DANIELLA missed 3-pt. jump shot",Emory
155,06:37,"GRESKO,CAITLIN defensive rebound",Opponent
156,06:17,"MARCHESE,FRANCESCA missed 3-pt. jump shot",Opponent
157,06:17,"BROCK,CLAIRE defensive rebound",Emory
158,05:58,"BROCK,CLAIRE missed jump shot",Emory
159,05:58,TEAM offensive rebound,Emory
160,05:44,"GROSS,PAIGE
                                 enters the game",Emory
161,05:44,"KENNEDY,LILY
                                 enters the game",Emory
162,05:44,"GERY,LILAH
                                 enters the game",Emory
163,05:44,"MARTIN,ERIN
                                 goes to the bench",Emory
164,05:44,"LAUDICK,MORGAN
                                 goes to the bench",Emory
165,05:44,"AUZA,MARIANE
                                 goes to the bench",Emory
166,05:43,"Foul by GRESKO,CAITLIN",Opponent
167,05:43,"OBAR,MOLLIE
                                 enters the game",Opponent
168,05:43,"KENNEDY,ABBY
                                 enters the game",Opponent
169,05:43,"MARCHESE,FRANCESCA
                                 goes to the bench",Opponent
170,05:43,"SMALLY,SHANNON
                                 goes to the bench",Opponent
171,05:37,"LAUDICK,MORGAN made layup",Emory
172,05:37,"Assist by BROCK,CLAIRE",Emory
173,05:18,"OBAR,MOLLIE made 3-pt. jump shot",Opponent
174,05:18,"Assist by PIERRE,TATHIANA",Opponent
175,04:48,"LAUDICK,MORGAN made 3-pt. jump shot",Emory
176,04:47,"LAUDICK,MORGAN
                                 enters the game",Emory
177,04:47,"GROSS,PAIGE
                                 goes to the bench",Emory
178,04:47,"GONZALEZ,SELENYA
                                 enters the game",Opponent
179,04:47,"PIERRE,TATHIANA
                                 goes to the bench",Opponent
180,04:34,"GRESKO,CAITLIN made 3-pt. jump shot",Opponent
181,04:34,"Assist by GONZALEZ,SELENYA",Opponent
182,04:17,"ARONSKY,DANIELLA made 3-pt. jump shot",Emory
183,04:17,"Assist by BROCK,CLAIRE",Emory
184,03:58,"Turnover by REAVIS,EMMA",Opponent
185,03:58,"OHM,LULU
                                 enters the game",Opponent
186,03:58,"REAVIS,EMMA
                                 goes to the bench",Opponent
187,03:45,"Turnover by BROCK,CLAIRE",Emory
188,03:45,"Steal by OHM,LULU",Opponent
189,03:21,"Foul by KREUSSER,CHLOE",Emory
190,03:18,"OHM,LULU missed jump shot",Opponent
191,03:18,"ARONSKY,DANIELLA defensive rebound",Emory
192,02:55,"KENNEDY,LILY made 3-pt. jump shot",Emory
193,02:55,"Assist by BROCK,CLAIRE",Emory
194,02:25,"KENNEDY,ABBY missed 3-pt. jump shot",Opponent
195,02:25,"BROCK,CLAIRE defensive rebound",Emory
196,02:12,"KENNEDY,LILY made layup",Emory
197,02:00,"GRESKO,CAITLIN missed 3-pt. jump shot",Opponent
198,02:00,TEAM deadball rebound,Emory
199,01:59,"Foul by KENNEDY,ABBY",Opponent
200,01:59,"AUZA,MARIANE
                                 enters the game",Emory
201,01:59,"BROCK,CLAIRE
                                 goes to the bench",Emory
202,01:59,"SMALLY,SHANNON
                                 enters the game",Opponent
203,01:59,"GRESKO,CAITLIN
                                 goes to the bench",Opponent
204,01:40,"KENNEDY,LILY made jump shot",Emory
205,01:40,"Assist by ARONSKY,DANIELLA",Emory
206,01:31,"GONZALEZ,SELENYA missed layup",Opponent
207,01:31,"Block by LAUDICK,MORGAN",Emory
208,01:31,"KENNEDY,LILY defensive rebound",Emory
209,01:24,"Foul by KENNEDY,ABBY",Opponent
210,01:24,"KREUSSER,CHLOE missed free throw",Emory
211,01:24,TEAM deadball rebound,Emory
212,01:24,"KREUSSER,CHLOE made free throw",Emory
213,01:24,"LOWNDES,CHARLOTTE
                                 enters the game",Emory
214,01:24,"AUZA,MARIANE
                                 goes to the bench",Emory
215,01:24,"REAVIS,EMMA
                                 enters the game",Opponent
216,01:24,"MARCHESE,FRANCESCA
                                 enters the game",Opponent
217,01:24,"KENNEDY,ABBY
                                 goes to the bench",Opponent
218,01:24,"GONZALEZ,SELENYA
                                 goes to the bench",Opponent
219,01:00,"OHM,LULU made 3-pt. jump shot",Opponent
220,01:00,"Assist by OBAR,MOLLIE",Opponent
221,00:50,"KREUSSER,CHLOE
                                 enters the game",Emory
