,X,Y,Region
0,0.0,0.0,Out of Bounds
1,0.0,0.2,Out of Bounds
2,0.0,0.4,Out of Bounds
3,0.0,0.6000000000000001,Out of Bounds
4,0.0,0.8,Out of Bounds
5,0.0,1.0,Out of Bounds
6,0.0,1.2000000000000002,Out of Bounds
7,0.0,1.4000000000000001,Out of Bounds
8,0.0,1.6,Out of Bounds
9,0.0,1.8,Out of Bounds
10,0.0,2.0,Out of Bounds
11,0.0,2.2,Out of Bounds
12,0.0,2.4000000000000004,Out of Bounds
13,0.0,2.6,Out of Bounds
14,0.0,2.8000000000000003,Out of Bounds
15,0.0,3.0,Out of Bounds
16,0.0,3.2,Out of Bounds
17,0.0,3.4000000000000004,Out of Bounds
18,0.0,3.6,Out of Bounds
19,0.0,3.8000000000000003,Out of Bounds
20,0.0,4.0,Out of Bounds
21,0.0,4.2,Out of Bounds
22,0.0,4.4,Out of Bounds
23,0.0,4.6000000000000005,Out of Bounds
24,0.0,4.800000000000001,Out of Bounds
25,0.0,5.0,Out of Bounds
26,0.0,5.2,Out of Bounds
27,0.0,5.4,Out of Bounds
28,0.0,5.6000000000000005,Out of Bounds
29,0.0,5.800000000000001,Out of Bounds
30,0.0,6.0,Out of Bounds
31,0.0,6.2,Out of Bounds
32,0.0,6.4,Out of Bounds
33,0.0,6.6000000000000005,Out of Bounds
34,0.0,6.800000000000001,Out of Bounds
35,0.0,7.0,Out of Bounds
36,0.0,7.2,Out of Bounds
37,0.0,7.4,Out of Bounds
38,0.0,7.6000000000000005,Out of Bounds
39,0.0,7.800000000000001,Out of Bounds
40,0.0,8.0,Out of Bounds
41,0.0,8.200000000000001,Out of Bounds
42,0.0,8.4,Out of Bounds
43,0.0,8.6,Out of Bounds
44,0.0,8.8,Out of Bounds
45,0.0,9.0,Out of Bounds
46,0.0,9.200000000000001,Out of Bounds
47,0.0,9.4,Out of Bounds
48,0.0,9.600000000000001,Out of Bounds
49,0.0,9.8,Out of Bounds
50,0.0,10.0,Out of Bounds
51,0.0,10.200000000000001,Out of Bounds
52,0.0,10.4,Out of Bounds
53,0.0,10.600000000000001,Out of Bounds
54,0.0,10.8,Out of Bounds
55,0.0,11.0,Out of Bounds
56,0.0,11.200000000000001,Out of Bounds
57,0.0,11.4,Out of Bounds
58,0.0,11.600000000000001,Out of Bounds
59,0.0,11.8,Out of Bounds
60,0.0,12.0,Out of Bounds
61,0.0,12.200000000000001,Out of Bounds
62,0.0,12.4,Out of Bounds
63,0.0,12.600000000000001,Out of Bounds
