,Team,POSS,PPP,PTS DIFF PER80,REB%,ORB%,DRB%,TO%
0,UChicago,81.95,0.81,21.88,57.4,42.4,67.7,15.6
1,Opponent,78.97,0.53,-21.88,0.43,0.32,0.58,0.14
2,Team,POSS,PPP,PTS DIFF PER80,REB%,ORB%,DRB%,TO%
0,UChicago,74.42,0.91,20.83,0.53,0.35,0.64,0.19
0,Opponent,73.46,0.65,-20.83,0.47,0.36,0.65,0.18
2,Team,POSS,PPP,PTS DIFF PER80,REB%,ORB%,DRB%,TO%
