Chicago,Chicago,Rebounds,Assists,Turnovers,Points off Turnovers,2nd Chance Points,Bench Points,OREB,DREB,STL,BLK,PF,PTS,AST,REB,TOV,PTS OFF TOV,2ND CHANCE,BENCH,FGM,FGA,3PM,3PA,FTM,FTA,FG%,3P%,FT%,Points in the Paint,Fastbreak Points,Largest Lead,PAINT,FASTBREAK
UChicago,UChicago,46.5,10.5,15.5,15.5,14.5,13.0,14.0,32.5,7.0,4.0,18.5,66.0,10.5,46.5,15.5,15.5,14.5,13.0,23.5,56.5,4.0,16.0,15.0,19.0,41.2,22.2,72.9,28.0,6.0,36.0,28.0,6.0
Opponent,Opponent,34.5,8.0,14.0,8.5,9.5,25.0,15.5,19.0,6.5,3.0,17.5,42.0,8.0,34.5,14.0,8.5,9.5,25.0,13.5,60.0,3.5,21.0,11.5,16.5,22.1,18.0,71.5,16.0,0.0,0.0,16.0,0.0
2,Chicago,Rebounds,Assists,Turnovers,Points off Turnovers,2nd Chance Points,Bench Points,OREB,DREB,STL,BLK,PF,PTS,AST,REB,TOV,PTS OFF TOV,2ND CHANCE,BENCH,FGM,FGA,3PM,3PA,FTM,FTA,FG%,3P%,FT%,Points in the Paint,Fastbreak Points,Largest Lead,PAINT,FASTBREAK
